Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por Comunidades Autónomas,,,
Comunidad Autónoma,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
Andalucía,806 10,42,70.154.653,35 8,84,59,37
Aragón,143 1,85,15.311.710,32 1,93,58,45
Asturias,112 1,45,9.479.706,28 1,19,58,37
Baleares,272 3,52,31.626.091,85 3,98,59,62
Canarias,217 2,81,20.332.299,76 2,56,64,04
Cantabria,169 2,18,16.493.697,77 2,08,61,52
Cataluña,1.254 16,21,139.833.505,86 17,61,60,62
País Vasco,576 7,45,71.937.541,14 9,06,59,79
Extremadura,47 0,61,2.798.577,07 0,35,54,13
Galicia,250 3,23,22.971.737,52 2,89,61,35
Castilla-León,370 4,78,33.200.932,58 4,18,60,30
Madrid,1.775 22,95,225.758.310,90 28,44,58,16
Castilla La Mancha,139 1,80,12.200.046,64 1,54,63,48
Murcia,137 1,77,10.014.691,93 1,26,61,31
Navarra,43 0,56,5.841.459,56 0,74,63,01
La Rioja,17 0,22,2.577.281,48 0,32,58,40
Comunidad Valenciana,1.408 18,20,103.316.926,35 13,01,54,18
Total,7.735 100,00,793.849.170,36 100,00,
*Relación Principal pendiente /V. Tasación son medias ponderadas por el principal pendiente.,,,
