Fecha Bonos de la Serie A1(P) Bonos de la Serie A2(P) Bonos de la Serie B(P) Bonos de la Serie C(P)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 14.823,28 114.823,28 100.000,00 25.251,28 125.251,28 100.000,00 30.120,05 130.120,05
17 feb 2005
18 abr 2005 0,00 370,83 370,83 0,00 379,17 379,17 0,00 429,17 429,17 0,00 512,50 512,50
18 jul 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 oct 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 abr 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 jul 2006 100.000,00 567,23 100.567,23 10.321,73 579,87 10.901,60 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2006 0,00 0,00 0,00 3.374,88 520,02 3.894,90 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2007 0,00 0,00 0,00 3.265,06 505,95 3.771,01 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2007 0,00 0,00 0,00 3.113,85 476,22 3.590,07 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2007 0,00 0,00 0,00 3.037,39 463,46 3.500,85 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2007 0,00 0,00 0,00 2.963,09 450,75 3.413,84 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2008 0,00 0,00 0,00 2.866,86 433,38 3.300,24 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2008 0,00 0,00 0,00 2.754,68 412,04 3.166,72 0,00 655,71 655,71 0,00 782,09 782,09
16 jul 2008 0,00 0,00 0,00 2.665,12 396,07 3.061,19 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2008 0,00 0,00 0,00 2.599,27 384,80 2.984,07 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2009 0,00 0,00 0,00 2.511,61 369,56 2.881,17 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2009 0,00 0,00 0,00 2.392,92 347,12 2.740,04 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2009 0,00 0,00 0,00 2.332,42 337,10 2.669,52 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2009 0,00 0,00 0,00 2.274,64 327,13 2.601,77 0,00 662,91 662,91 0,00 790,69 790,69
18 ene 2010 0,00 0,00 0,00 2.198,28 320,62 2.518,90 0,00 677,32 677,32 0,00 807,88 807,88
16 abr 2010 0,00 0,00 0,00 1.847,44 287,83 2.135,27 7.294,46 634,09 7.928,55 7.287,78 756,31 8.044,09
16 jul 2010 0,00 0,00 0,00 1.917,84 286,93 2.204,77 3.593,21 607,88 4.201,09 3.593,47 725,10 4.318,57
18 oct 2010 0,00 0,00 0,00 1.868,91 284,90 2.153,81 3.501,52 603,58 4.105,10 3.501,77 719,97 4.221,74
17 ene 2011 0,00 0,00 0,00 1.804,92 264,97 2.069,89 3.381,64 561,35 3.942,99 3.381,88 669,61 4.051,49
18 abr 2011 0,00 0,00 0,00 1.720,98 254,50 1.975,48 3.224,37 539,18 3.763,55 3.224,60 643,16 3.867,76
18 jul 2011 0,00 0,00 0,00 1.674,50 244,52 1.919,02 3.137,28 518,04 3.655,32 3.137,51 617,94 3.755,45
17 oct 2011 0,00 0,00 0,00 1.629,77 234,81 1.864,58 3.053,49 497,47 3.550,96 3.053,71 593,40 3.647,11
16 ene 2012 0,00 0,00 0,00 1.573,06 225,36 1.798,42 2.947,24 477,45 3.424,69 2.947,45 569,52 3.516,97
16 abr 2012 0,00 0,00 0,00 1.508,80 216,24 1.725,04 2.826,83 458,12 3.284,95 2.827,04 546,46 3.373,50
16 jul 2012 0,00 0,00 0,00 1.454,59 207,49 1.662,08 2.725,27 439,58 3.164,85 2.725,47 524,35 3.249,82
16 oct 2012 0,00 0,00 0,00 1.415,88 201,24 1.617,12 2.652,75 426,35 3.079,10 2.652,94 508,57 3.161,51
16 ene 2013 0,00 0,00 0,00 1.365,50 192,94 1.558,44 2.558,35 408,76 2.967,11 2.558,54 487,59 3.046,13
16 abr 2013 0,00 0,00 0,00 1.302,13 180,92 1.483,05 2.439,63 383,29 2.822,92 2.439,81 457,20 2.897,01
16 jul 2013 0,00 0,00 0,00 1.260,57 175,38 1.435,95 2.361,76 371,55 2.733,31 2.361,93 443,20 2.805,13
16 oct 2013 0,00 0,00 0,00 1.216,23 169,91 1.386,14 2.278,69 359,98 2.638,67 2.278,86 429,39 2.708,25
16 ene 2014 0,00 0,00 0,00 1.165,15 162,78 1.327,93 2.182,99 344,87 2.527,86 2.183,14 411,37 2.594,51
16 abr 2014 0,00 0,00 0,00 1.105,04 152,56 1.257,60 2.070,37 323,22 2.393,59 2.070,52 385,54 2.456,06
16 jul 2014 0,00 0,00 0,00 1.072,65 147,85 1.220,50 2.009,68 313,23 2.322,91 2.009,83 373,63 2.383,46
16 oct 2014 0,00 0,00 0,00 1.043,63 143,19 1.186,82 1.955,31 303,35 2.258,66 1.955,45 361,85 2.317,30
16 ene 2015 0,00 0,00 0,00 1.006,87 137,07 1.143,94 1.886,43 290,39 2.176,82 1.886,57 346,39 2.232,96
