Cartera de préstamos hipotecarios al día 31.10.2008
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2010,1 0,01,6.653,29 0,00,23,29 10/10/2010
2012,9 0,05,430.618,14 0,01,41,39 13/04/2012
2013,8 0,04,1.008.469,03 0,03,57,93 29/08/2013
2014,11 0,06,797.328,21 0,02,67,78 25/06/2014
2015,23 0,12,2.056.882,03 0,06,81,31 11/08/2015
2016,28 0,15,2.676.559,27 0,08,92,91 29/07/2016
2017,43 0,23,3.726.275,21 0,12,105,04 2/08/2017
2018,52 0,28,3.568.106,46 0,11,114,70 23/05/2018
2019,36 0,19,2.912.323,28 0,09,127,67 22/06/2019
2020,48 0,26,5.340.686,20 0,17,139,79 25/06/2020
2021,70 0,38,6.884.959,14 0,21,152,72 24/07/2021
2022,130 0,70,13.204.695,79 0,41,164,88 29/07/2022
2023,162 0,87,16.000.983,43 0,50,174,48 17/05/2023
2024,56 0,30,6.558.958,80 0,20,187,86 27/06/2024
2025,74 0,40,9.042.034,11 0,28,200,93 30/07/2025
