RELACIÓN ENTRE EL SALDO PENDIENTE Y VALOR DE TASACIÓN MERCADO,,,,
MÁS VPO DE LOS PRÉSTAMOS HIPOTECARIOS,,,,
INTERVALO,SALDOS VIVOS
(MILES),% SALDOS VIVOS,Nº PRÉSTAMOS,% NUMERO DE PRÉSTAMOS
0,64% - 9,99% 503,25 0,03% 19 0,15%
10-19,99% 6.924,25 0,39% 154 1,22%
20-29,99% 23.048,05 1,29% 306 2,43%
30-39,99% 64.309,52 3,59% 658 5,21%
40-49,99% 100.984,51 5,63% 700 5,55%
50-54,99% 74.887,65 4,18% 471 3,73%
55-59,99% 105.345,06 5,87% 591 4,68%
60-64,99% 94.427,72 5,27% 538 4,26%
65-69,99% 148.814,09 8,30% 791 6,27%
70-74,99% 138.177,26 7,71% 785 6,22%
75-79,99% 813.569,86 45,37% 6.126 48,55%
80-84,99% 55.020,26 3,07% 312 2,47%
85-89,99% 18.255,84 1,02% 115 0,91%
90-94,99% 19.096,40 1,06% 117 0,93%
95-99,99% 23.058,82 1,29% 131 1,04%
100-109,99% 37.199,53 2,07% 247 1,96%
110-119,99% 36.978,67 2,06% 291 2,31%
120-129,99% 18.295,26 1,02% 151 1,20%
130-139,97% 14.218,44 0,79% 115 0,91%,,,,
Total 1.793.114.435,93 € 100,00%,,,12.618 100,00%,
