TIPO DE INTERES ACTUAL DE LOS PRESTAMOS
ASOCIADOS NO HIPOTECARIOS,,,,
INTERVALO (EUROS),Saldo Vivo
(MILES),%Saldo Vivo,Nº préstamos,%Nº préstamos
2,99 - 3,50 2.392,57 2,73 114 2,83
3,50 - 4,00 475,11 0,54 18 0,44
4,00 - 4,50 693,23 0,79 27 0,67
4,50 - 5,00 1.722,76 1,96 69 1,71
5,00 - 5,50 3.516,28 4,02 148 3,68
5,50 - 6,00 9.271,85 10,6 387 9,63
6,00 - 6,50 15.967,30 18,25 687 17,1
6,50 - 7,00 20.379,42 23,29 888 22,11
7,00 - 7,50 19.781,53 22,61 964 24
7,50 - 8,00 11.028,11 12,6 597 14,86
8,00 - 8,50 1.947,74 2,22 102 2,53
8,50 - 9,00 200,91 0,22 9 0,22
9,00 - 9,50 44,37 0,05 4 0,09
9,50 - 10,00 29,71 0,03 1 0,02
10,00 - 10,50 0,00 0 0 0
10,50 - 11,00 14,46 0,01 1 0,02,,,,
TOTALES 87.465.409,93 € 100 4.016 100,,,,
