Cartera de préstamos hipotecarios al día 23.10.2006
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
15,00 - 15,99,1.957 18,76,181.780.079,89 18,46,15,00
16,00 - 16,99,2 0,02,246.020,73 0,02,16,00
17,00 - 17,99,3 0,03,292.327,96 0,03,17,00
19,00 - 19,99,14 0,13,1.450.402,25 0,15,19,00
20,00 - 20,99,62 0,59,2.168.621,80 0,22,20,00
25,00 - 25,99,81 0,78,4.870.139,06 0,49,25,00
29,00 - 29,99,15 0,14,2.611.268,39 0,27,29,00
-
Sin T.I.N. máximo aplicable,8.298 79,54,791.040.461,76 80,35,
Total 10.432 100,00 984.460.321,84 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
