Cartera de préstamos hipotecarios al día 25.10.2016
Clasificación en función del año en el que se producirá la primera revisión del tipo de interés de los préstamos
hipotecarios con estructura de tipo de interés mixto (fijo/variable).,,
Año de revisión,Préstamos
hipotecarios
N.º %,Principal pendiente
(euros) %
2016,2.561 58,22,313.159.556,27 58,75
2017,1.616 36,74,199.354.573,54 37,40
2018,60 1,36,5.222.035,60 0,98
2019,31 0,70,2.865.941,01 0,54
2020,24 0,55,1.951.608,03 0,37
2021,28 0,64,2.448.409,53 0,46
2023,1 0,02,33.373,56 0,01
2026,73 1,66,7.316.240,62 1,37
2035,3 0,07,368.216,50 0,07
2040,2 0,05,328.163,97 0,06
Total 4.399 100,00 533.048.118,63 100,00,,
