


31/03/2008 31/12/2008 31/03/2009 ∆% (mar.09-mar.08)

BALANCE CONSOLIDADO (millones de euros)
Activo total 43.007,37 44.066,39 43.566,36 1,30%
Créditos sobre clientes 34.317,36 33.135,61 34.907,02 1,72%
Total recursos gestionados de clientes (pasivos financ. coste amortizado) 36.245,80 37.757,98 37.001,31 2,08%
Patrimonio neto 2.590,66 2.519,95 2.502,36 -3,41%
Fondos propios 2.391,08 2.523,39 2.541,72 6,30%
CUENTA DE RESULTADOS - DATOS CONSOLIDADOS (millones de euros)
Margen de Intereses 163,20 645,90 192,10 17,71%
Margen Bruto 269,22 942,46 261,09 -3,02%
Resultado de la Actividad de Explotación 118,08 196,40 90,61 -23,26%
Beneficio antes de impuestos 117,86 273,98 95,10 -19,31%
Resultado del Ejercicio procedente de operaciones continuadas 87,17 219,75 68,95 -20,91%
Resultado del Ejercicio atribuido al Grupo 87,22 219,64 69,31 -20,54%
RATIOS RELEVANTES - DATOS CONSOLIDADOS (%)
ROE (Bº atribuido/Fondos propios) 14,59% 8,70% 10,91% -25,25%
ROA (Bº neto/Activos totales medios) 0,81% 0,51% 0,63% -22,26%
Índice de Morosidad 0,94% 2,17% 2,66% 182,98%
Índice de Morosidad Hipotecaria 0,67% 1,93% 2,37% 253,73%
Índice de Morosidad Hipotecaria VPO 0,20% 0,17% 0,26% 30,00%
Ratio de Eficiencia (Gastos de Administración / margen bruto) 45,19% 51,49% 44,63% -1,22%
Coeficiente de Solvencia - 13,29% 13,45% -
TIER I - 8,87% 9,10% -
TIER II - 4,42% 4,34% -
Ratio de Cobertura de Morosidad 208,56% 103,54% 86,46% -58,54%
INFORMACIÓN ADICIONAL - DATOS CONSOLIDADOS
Número de oficinas 1.099 1.101 1.101 0,18%
Número de empleados 5.224 5.265 5.347 2,35%
