Elabora,
,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA ICO-FTVPO
(División por saldo actual)
,
,VENCIMIENTO TIPO ACTUAL
SALDO VENCIMIENTO INICIAL SALDO
RESIDUAL PONDERADO PONDERADO POR
SALDO ACTUAL (euros) NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR ACTUAL MEDIO
POR SALDO ACTUAL SALDO ACTUAL
(%) SALDO INICIAL (meses) (euros)
(meses) (%)
,<15.000,00 24 230.848,96 0,05 240 187 3,68 9.618,71
15.000,00 - 30.000,00 125 3.127.207,18 0,69 243 186 3,69 25.017,66
30.000,00 - 45.000,00 491 19.343.238,26 4,29 241 184 3,68 39.395,60
45.000,00 - 60.000,00 1.702 89.182.703,31 19,79 240 191 3,68 52.398,77
60.000,00 - 75.000,00 1.968 132.581.363,65 29,42 245 203 3,70 67.368,58
75.000,00 - 90.000,00 1.388 110.707.797,90 24,57 250 219 3,72 79.760,66
90.000,00 - 105.000,00 882 84.831.053,77 18,83 269 242 3,81 96.180,33
105.000,00 - 120.000,00 56 6.221.962,10 1,38 260 236 3,75 111.106,47
120.000,00 - 135.000,00 10 1.278.748,33 0,28 300 279 3,94 127.874,83
135.000,00 - 150.000,00 22 3.073.121,00 0,68 300 279 3,94 139.687,32
,TOTALES 6.668 450.578.044,46 100 250 212 3,72 67.573,19
,
