Cartera de préstamos al día 08.05.2007
Clasificación por el plazo de amortización inicial del préstamo,,
Intervalos en meses,Préstamos
%,Principal pendiente
(euros) %
12,01 - 24,00,304 3,26,61.668.965,00 3,49
24,01 - 36,00,585 6,27,102.876.614,23 5,82
36,01 - 48,00,2.112 22,64,185.980.392,74 10,52
48,01 - 60,00,506 5,43,67.719.745,18 3,83
60,01 - 72,00,3.045 32,65,348.887.343,64 19,74
72,01 - 84,00,161 1,73,39.990.167,54 2,26
84,01 - 96,00,941 10,09,230.157.482,93 13,02
96,01 - 108,00,146 1,57,38.149.653,25 2,16
108,01 - 120,00,53 0,57,25.366.000,67 1,44
120,01 - 132,00,636 6,82,208.915.398,85 11,82
132,01 - 144,00,53 0,57,42.310.987,67 2,39
144,01 - 156,00,223 2,39,101.868.654,53 5,76
156,01 - 168,00,25 0,27,14.273.129,87 0,81
168,01 - 180,00,27 0,29,11.882.519,82 0,67
180,01 - 192,00,354 3,80,198.233.134,71 11,21
192,01 - 204,00,23 0,25,19.350.573,91 1,09
204,01 - 216,00,16 0,17,12.283.966,54 0,69
216,01 - 228,00,17 0,18,8.250.245,32 0,47
228,01 - 240,00,6 0,06,5.285.514,54 0,30
240,01 - 252,00,61 0,65,32.667.661,74 1,85
252,01 - 264,00,4 0,04,1.415.002,33 0,08
264,01 - 276,00,1 0,01,257.000,00 0,01
276,01 - 288,00,2 0,02,613.928,65 0,03
288,01 - 300,00,2 0,02,349.033,98 0,02
300,01 - 312,00,9 0,10,2.788.394,15 0,16
324,01 - 336,00,3 0,03,2.380.666,06 0,13
336,01 - 348,00,2 0,02,1.514.241,34 0,09
348,01 - 360,00,2 0,02,284.536,33 0,02
360,01 - 372,00,6 0,06,936.844,93 0,05
372,01 - 384,00,1 0,01,780.000,00 0,04
432,01 - 444,00,1 0,01,198.243,07 0,01
Total,9.327 100,00,1.767.636.043,52 100,00
,Media ponderada:
Media simple:
Mínimo:
Máximo:,96,50 Meses
68,95 Meses
12,00 Meses
432,29 Meses
