Cartera de préstamos al día 08.05.2007
Clasificación por Índice de referencia del tipo de interés,,,,
Índice de referencia,Préstamos
%,,Principal pendiente
(euros) %,
Tipo de interés fijo
Tipo de interés variable *,2.015
7.312,21,60
78,40,188.923.940,02
1.578.712.103,50,10,68
89,31
EURIBOR/MIBOR 1 AÑO,1.752,18,78,422.308.240,64,23,89
EURIBOR/MIBOR 11 MESES,21,0,23,1.192.699,74,0,07
EURIBOR/MIBOR 10 MESES,12,0,13,1.245.526,11,0,07
EURIBOR/MIBOR 9 MESES,7,0,08,550.503,12,0,03
EURIBOR/MIBOR 7 MESES,9,0,10,1.720.833,45,0,10
EURIBOR/MIBOR 6 MESES,3.597,38,57,611.823.443,39,34,61
EURIBOR/MIBOR 5 MESES,23,0,25,2.524.004,43,0,14
EURIBOR/MIBOR 4 MESES,21,0,23,2.498.957,73,0,14
EURIBOR/MIBOR 3 MESES,1.304,13,98,391.311.596,47,22,14
EURIBOR/MIBOR 2 MESES,54,0,58,20.416.681,17,1,16
EURIBOR/MIBOR 1 MES,24,0,26,10.430.920,93,0,59
EURIBOR/MIBOR HIPOTECARIO,382,4,10,104.328.465,40,5,90
IRPH BANCOS,62,0,66,4.461.332,99,0,25
IRPH CONJUNTO ENTIDADES,44,0,47,3.898.897,93,0,22
Total 9.327 100,00 1.767.636.043,52 100,00,,,,
