Cartera de préstamos al día 08.05.2007
Clasificación por principal pendiente,,
Intervalo de principal
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %
0,00 -249.999,99,7.642 81,93,483.452.472,43 27,35
250.000,00 -499.999,99,853 9,15,293.678.558,57 16,61
500.000,00 -749.999,99,325 3,48,196.326.148,12 11,11
750.000,00 -999.999,99,171 1,83,147.806.153,33 8,36
1.000.000,00 -1.249.999,99,106 1,14,116.179.579,81 6,57
1.250.000,00 -1.499.999,99,49 0,53,67.278.942,93 3,81
1.500.000,00 -1.749.999,99,41 0,44,65.500.578,58 3,71
1.750.000,00 -1.999.999,99,30 0,32,55.594.528,86 3,15
2.000.000,00 -2.249.999,99,25 0,27,52.507.453,76 2,97
2.250.000,00 -2.499.999,99,16 0,17,37.619.108,51 2,13
2.500.000,00 -2.749.999,99,17 0,18,44.025.541,14 2,49
