,FECHAS,,,EURIBOR 3m,,,SERIE A1,,,SERIE A2,,,SERIE A3,,,SERIE B,
15-mar-06,,,2,703%,,,2,793%,,,2,813%,,,2,803%,,,2,983%,,
14-mar-06,,,2,704%,,,2,794%,,,2,814%,,,2,804%,,,2,984%,,
13-mar-06,,,2,701%,,,2,791%,,,2,811%,,,2,801%,,,2,981%,,
10-mar-06,,,2,698%,,,2,788%,,,2,808%,,,2,798%,,,2,978%,,
9-mar-06,,,2,695%,,,2,785%,,,2,805%,,,2,795%,,,2,975%,,
8-mar-06,,,2,694%,,,2,784%,,,2,804%,,,2,794%,,,2,974%,,
7-mar-06,,,2,692%,,,2,782%,,,2,802%,,,2,792%,,,2,972%,,
6-mar-06,,,2,688%,,,2,778%,,,2,798%,,,2,788%,,,2,968%,,
3-mar-06,,,2,684%,,,2,774%,,,2,794%,,,2,784%,,,2,964%,,
2-mar-06,,,2,674%,,,2,764%,,,2,784%,,,2,774%,,,2,954%,,
1-mar-06,,,2,666%,,,2,756%,,,2,776%,,,2,766%,,,2,946%,,
28-feb-06,,,2,664%,,,2,754%,,,2,774%,,,2,764%,,,2,944%,,
27-feb-06,,,2,657%,,,2,747%,,,2,767%,,,2,757%,,,2,937%,,
