FLUJOS POR CADA BONO SIN RETENCIÓN PARA EL TOMADOR TAA=1% (en euros),,
Fecha de Pago,Serie A,Serie B
,Ppal. Inter. Flujo
Amort Brutos Total,Ppal. Inter. Flujo
Amort Brutos Total
27/03/2017
17/07/2017 914,61 53,20 967,81 0,00 99,87 99,87
17/10/2017 1.218,70 43,30 1.262,00 0,00 82,03 82,03
17/01/2018 1.222,70 42,77 1.265,47 0,00 82,03 82,03
17/04/2018 1.225,69 41,32 1.267,01 0,00 80,25 80,25
17/07/2018 1.227,42 41,24 1.268,66 0,00 81,14 81,14
17/10/2018 1.233,81 41,16 1.274,97 0,00 82,03 82,03
17/01/2019 1.314,79 40,62 1.355,41 0,00 82,03 82,03
17/04/2019 1.315,39 39,18 1.354,57 0,00 80,25 80,25
17/07/2019 1.314,51 39,04 1.353,55 0,00 81,14 81,14
17/10/2019 1.316,41 38,90 1.355,31 0,00 82,03 82,03
17/01/2020 1.314,87 38,32 1.353,19 0,00 82,03 82,03
17/04/2020 1.313,69 37,34 1.351,03 0,00 81,14 81,14
17/07/2020 1.312,20 36,77 1.348,97 0,00 81,14 81,14
17/10/2020 1.314,09 36,60 1.350,69 0,00 82,03 82,03
17/01/2021 1.312,73 36,03 1.348,75 0,00 82,03 82,03
17/04/2021 1.311,68 34,68 1.346,36 0,00 80,25 80,25
17/07/2021 1.310,78 34,50 1.345,28 0,00 81,14 81,14
17/10/2021 1.312,52 34,31 1.346,83 0,00 82,03 82,03
17/01/2022 1.310,01 33,73 1.343,75 0,00 82,03 82,03
17/04/2022 1.308,52 32,44 1.340,96 0,00 80,25 80,25
17/07/2022 1.306,68 32,23 1.338,92 0,00 81,14 81,14
17/10/2022 1.308,96 32,02 1.340,97 0,00 82,03 82,03
17/01/2023 1.307,07 31,45 1.338,51 0,00 82,03 82,03
17/04/2023 1.306,14 30,20 1.336,34 0,00 80,25 80,25
17/07/2023 1.304,01 29,97 1.333,99 0,00 81,14 81,14
17/10/2023 1.306,26 29,73 1.335,99 0,00 82,03 82,03
17/01/2024 1.304,65 29,16 1.333,81 0,00 82,03 82,03
17/04/2024 1.303,99 28,28 1.332,27 0,00 81,14 81,14
17/07/2024 1.303,10 27,72 1.330,82 0,00 81,14 81,14
17/10/2024 1.304,33 27,45 1.331,79 0,00 82,03 82,03
17/01/2025 1.302,72 26,88 1.329,61 0,00 82,03 82,03
17/04/2025 1.302,21 25,74 1.327,95 0,00 80,25 80,25
17/07/2025 1.301,48 25,47 1.326,95 0,00 81,14 81,14
17/10/2025 1.302,58 25,18 1.327,76 0,00 82,03 82,03
17/01/2026 1.301,26 24,61 1.325,86 0,00 82,03 82,03
17/04/2026 1.301,13 23,52 1.324,65 0,00 80,25 80,25
17/07/2026 1.298,81 23,22 1.322,03 0,00 81,14 81,14
17/10/2026 1.299,59 22,90 1.322,49 0,00 82,03 82,03
17/01/2027 1.296,27 22,34 1.318,61 0,00 82,03 82,03
17/04/2027 1.296,81 21,30 1.318,11 0,00 80,25 80,25
17/07/2027 1.291,19 20,97 1.312,16 0,00 81,14 81,14
17/10/2027 1.293,37 20,64 1.314,00 0,00 82,03 82,03
17/01/2028 1.292,71 20,07 1.312,78 0,00 82,03 82,03
17/04/2028 1.290,13 19,30 1.309,43 0,00 81,14 81,14
17/07/2028 1.287,10 18,74 1.305,83 0,00 81,14 81,14
17/10/2028 1.289,01 18,38 1.307,40 0,00 82,03 82,03
17/01/2029 1.286,77 17,82 1.304,59 0,00 82,03 82,03
17/04/2029 1.285,50 16,88 1.302,39 0,00 80,25 80,25
17/07/2029 1.281,98 16,51 1.298,50 0,00 81,14 81,14
17/10/2029 1.282,36 16,13 1.298,49 0,00 82,03 82,03
17/01/2030 1.278,24 15,57 1.293,81 0,00 82,03 82,03,,
