,Cartera de Operaciones a día 1 de junio de 2008,,,,,,,
,Clasificación por Intervalos de Principal Pendiente,,,,,,,
,,,,,,,,
,Intervalos de Principal,,Operaciones,,,Principal Pendiente,,
,Euros,,Número,,%,Importe,,%
,0,00,49.999,99,12.007,,72,62%,195.273.306,38,,20,98%
,50.000,00,99.999,99,1.967,,11,90%,143.321.255,65,,15,40%
,100.000,00,149.999,99,948,,5,73%,115.822.761,91,,12,44%
,150.000,00,199.999,99,541,,3,27%,94.382.729,31,,10,14%
,200.000,00,249.999,99,378,,2,29%,84.506.658,86,,9,08%
,250.000,00,299.999,99,228,,1,38%,63.086.463,51,,6,78%
,300.000,00,349.999,99,133,,0,80%,42.761.862,61,,4,59%
,350.000,00,399.999,99,95,,0,57%,35.584.641,85,,3,82%
,400.000,00,449.999,99,49,,0,30%,20.537.610,74,,2,21%
,450.000,00,499.999,99,43,,0,26%,20.544.999,31,,2,21%
,500.000,00,549.999,99,23,,0,14%,12.034.761,69,,1,29%
,550.000,00,599.999,99,32,,0,19%,18.366.895,91,,1,97%
,600.000,00,649.999,99,18,,0,11%,11.125.437,68,,1,20%
,650.000,00,699.999,99,12,,0,07%,8.055.735,03,,0,87%
,700.000,00,749.999,99,11,,0,07%,7.958.347,57,,0,86%
,750.000,00,799.999,99,10,,0,06%,7.706.185,71,,0,83%
,800.000,00,849.999,99,4,,0,02%,3.307.985,08,,0,36%
,850.000,00,899.999,99,5,,0,03%,4.352.898,96,,0,47%
,900.000,00,949.999,99,4,,0,02%,3.708.400,00,,0,40%
,950.000,00,999.999,99,5,,0,03%,4.851.940,07,,0,52%
,1.000.000,00,1.049.999,99,5,,0,03%,5.091.943,35,,0,55%
,1.050.000,00,1.099.999,99,2,,0,01%,2.150.866,68,,0,23%
,1.100.000,00,1.149.999,99,1,,0,01%,1.144.055,07,,0,12%
,1.250.000,00,1.299.999,99,2,,0,01%,2.563.359,81,,0,28%
,1.300.000,00,1.349.999,99,2,,0,01%,2.625.313,82,,0,28%
,1.350.000,00,1.399.999,99,2,,0,01%,2.740.872,00,,0,29%
,1.550.000,00,1.599.999,99,1,,0,01%,1.553.265,43,,0,17%
,1.650.000,00,1.699.999,99,1,,0,01%,1.691.413,63,,0,18%
,1.850.000,00,1.899.999,99,2,,0,01%,3.754.382,03,,0,40%
,2.000.000,00,2.049.999,99,1,,0,01%,2.014.488,43,,0,22%
,2.300.000,00,2.349.999,99,2,,0,01%,4.641.938,75,,0,50%
,3.400.000,00,3.449.999,99,1,,0,01%,3.449.428,64,,0,37%
,Total Cartera,,16.535,,100,00%,930.712.205,47,,100,00%
,Principal Pendiente Medio:,,,,,56.287,40,,
,Principal Pendiente Máximo:,,,,,3.449.428,64,,
,Principal Pendiente Mínimo:,,,,,155,51,,
