,Cartera de Operaciones a día 1 de junio de 2008,,,,,,,,,
Clasificación por antigüedad de la fecha de formalización,,,,,,,,,,
,,,,,,,,,,
,Intervalo,,,,Operaciones,,,Principal Pendiente,,
,Fecha de formalización,,,,Número,,%,Importe,,%
,01/07/1987,,31/12/1987,,1,,0,01%,5.025,11,,0,00%
,01/07/1989,,31/12/1989,,1,,0,01%,4.376,65,,0,00%
,01/01/1990,,30/06/1990,,1,,0,01%,6.942,15,,0,00%
,01/07/1990,,31/12/1990,,2,,0,01%,23.131,63,,0,00%
,01/01/1991,,30/06/1991,,1,,0,01%,17.260,46,,0,00%
,01/07/1991,,31/12/1991,,1,,0,01%,13.519,71,,0,00%
,01/07/1992,,31/12/1992,,2,,0,01%,12.045,30,,0,00%
,01/01/1993,,30/06/1993,,2,,0,01%,32.425,33,,0,00%
,01/07/1993,,31/12/1993,,3,,0,02%,3.709,16,,0,00%
,01/01/1994,,30/06/1994,,7,,0,04%,25.267,77,,0,00%
,01/07/1994,,31/12/1994,,12,,0,07%,79.879,99,,0,01%
,01/01/1995,,30/06/1995,,20,,0,12%,225.587,76,,0,02%
,01/07/1995,,31/12/1995,,24,,0,15%,369.817,82,,0,04%
,01/01/1996,,30/06/1996,,22,,0,13%,475.365,68,,0,05%
,01/07/1996,,31/12/1996,,26,,0,16%,1.447.641,78,,0,16%
,01/01/1997,,30/06/1997,,26,,0,16%,525.099,85,,0,06%
,01/07/1997,,31/12/1997,,36,,0,22%,1.388.964,43,,0,15%
,01/01/1998,,30/06/1998,,41,,0,25%,1.561.953,34,,0,17%
,01/07/1998,,31/12/1998,,35,,0,21%,1.215.589,65,,0,13%
,01/01/1999,,30/06/1999,,65,,0,39%,2.295.411,97,,0,25%
,01/07/1999,,31/12/1999,,57,,0,34%,3.145.357,47,,0,34%
,01/01/2000,,30/06/2000,,67,,0,41%,3.359.690,13,,0,36%
,01/07/2000,,31/12/2000,,49,,0,30%,3.012.315,93,,0,32%
,01/01/2001,,30/06/2001,,67,,0,41%,3.612.361,10,,0,39%
,01/07/2001,,31/12/2001,,58,,0,35%,4.213.204,81,,0,45%
,01/01/2002,,30/06/2002,,65,,0,39%,3.629.478,56,,0,39%
,01/07/2002,,31/12/2002,,64,,0,39%,5.219.576,26,,0,56%
,01/01/2003,,30/06/2003,,125,,0,76%,10.579.579,60,,1,14%
,01/07/2003,,31/12/2003,,194,,1,17%,9.805.071,46,,1,05%
,01/01/2004,,30/06/2004,,354,,2,14%,16.673.100,19,,1,79%
,01/07/2004,,31/12/2004,,369,,2,23%,19.095.025,24,,2,05%
,01/01/2005,,30/06/2005,,514,,3,11%,27.063.864,41,,2,91%
,01/07/2005,,31/12/2005,,696,,4,21%,45.290.695,33,,4,87%
,01/01/2006,,30/06/2006,,1.941,,11,74%,104.237.274,33,,11,20%
,01/07/2006,,31/12/2006,,1.950,,11,79%,121.846.189,50,,13,09%
,01/01/2007,,30/06/2007,,2.681,,16,21%,137.875.576,77,,14,81%
,01/07/2007,,31/12/2007,,3.816,,23,08%,227.975.950,53,,24,49%
,01/01/2008,,30/06/2008,,3.140,,18,99%,174.348.878,31,,18,73%
Total Cartera,,,,16.535,,100,00%,,930.712.205,47,100,00%,
,Antigüedad media ponderada:,,,,,,,1,62 años,,
,Antigüedad Máxima:,,,,,,,19/12/1987,,
,Antigüedad Mínima:,,,,,,,11/04/2008,,
