Cartera de Operaciones a día 1 de junio de 2008,,,,,,,,,
Clasificación por relación Principal Pendiente Préstamo Hipotecario y Disposición Inicial/Valor Tasación,,,,,,,,,
Intervalo
Relación,,Operaciones,,,Principal Pendiente,,Valor Tasación,,
,,Número,,%,Importe,%,Importe,,%
0% 4,99%
5% 9,99%
10% 14,99%
15% 19,99%
20% 24,99%
25% 29,99%
30% 34,99%
35% 39,99%
40% 44,99%
45% 49,99%
50% 54,99%
55% 59,99%
60% 64,99%
65% 69,99%
70% 74,99%
75% 79,99%
80% 84,99%
85% 89,99%
90% 94,99%
95% 99,99%
>100%,,148 3,31%
248 5,55%
308 6,89%
337 7,54%
310 6,94%
304 6,80%
259 5,79%
261 5,84%
273 6,11%
265 5,93%
248 5,55%
287 6,42%
244 5,46%
403 9,02%
189 4,23%
284 6,35%
37 0,83%
30 0,67%
14 0,31%
18 0,40%
3 0,07%,,,2.526.282,75 0,42%
9.734.716,11 1,62%
15.857.595,23 2,63%
23.458.448,14 3,89%
27.175.810,82 4,51%
33.458.557,58 5,55%
31.404.559,70 5,21%
36.821.327,17 6,11%
40.291.390,17 6,69%
39.074.160,61 6,49%
42.043.113,03 6,98%
49.095.311,08 8,15%
46.993.333,78 7,80%
83.157.491,05 13,81%
36.909.292,20 6,13%
60.400.702,84 10,03%
11.208.237,50 1,86%
5.527.818,52 0,92%
2.206.122,50 0,37%
4.584.288,32 0,76%
411.272,28 0,07%,,92.292.192,37 5,72%
124.205.657,79 7,70%
126.922.709,01 7,87%
134.842.341,34 8,36%
121.303.831,69 7,52%
122.208.931,19 7,58%
96.848.692,33 6,01%
97.912.988,71 6,07%
94.920.619,22 5,89%
82.441.408,78 5,11%
80.087.663,88 4,97%
85.320.782,54 5,29%
75.050.409,96 4,65%
122.486.181,06 7,60%
50.805.683,32 3,15%
77.531.527,70 4,81%
13.690.010,60 0,85%
6.320.768,96 0,39%
2.395.933,76 0,15%
4.722.876,91 0,29%
399.925,35 0,02%,,
Total Cartera,,4.470,,100,00%,602.339.831,38,100,00%,1.612.711.136,47,,100,00%
Promedio Ponderado: 51,99%
Mínimo: 0,047%
Máximo: 103,470%,,,,,,,,,
