Distribución por Saldo Vivo
Número % sobre total Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Antigüedad años Plazo Total años
Saldo Vivo Saldo Inicial
Préstamos préstamos Vivo Vivo Medio Medio ponder. Media ponder. Media ponder media ponder

Inferior a 49.999 686 8,90% 22.924.663,68 2,33% 33.417,88 0,93% 13,90 7,09 46.333.685,81 20,99
entre 50.000 Y 99.999 2.407 31,22% 190.410.019,80 19,39% 79.106,78 0,90% 22,69 6,54 246.988.737,11 29,23
entre 100.000 Y 149.999 2.379 30,86% 291.047.917,29 29,64% 122.340,44 0,87% 25,76 6,37 348.370.555,25 32,13
entre 150.000 Y 199.999 1.272 16,50% 217.279.840,64 22,13% 170.817,48 0,82% 26,64 6,36 255.215.051,75 33,00
entre 200.000 Y 249.999 505 6,55% 112.073.464,18 11,41% 221.927,65 0,77% 26,81 6,24 131.717.048,49 33,05
entre 250.000 Y 299.999 255 3,31% 69.103.227,35 7,04% 270.993,05 0,78% 27,38 6,08 79.250.766,75 33,46
entre 300.000 Y 349.999 108 1,40% 34.493.835,83 3,51% 319.387,37 0,76% 27,52 6,07 39.442.754,23 33,59
entre 350.000 Y 399.999 39 0,51% 14.286.014,44 1,46% 366.308,06 0,76% 28,70 5,81 16.979.037,23 34,52
entre 400.000 Y 449.999 19 0,25% 7.960.037,66 0,81% 418.949,35 0,67% 28,13 6,12 9.175.758,93 34,26
Superior o igual a 450.000 39 0,51% 22.265.577,35 2,27% 570.912,24 0,69% 26,83 6,23 26.180.893,73 33,06

Totales 7.709 100% 981.844.598,22 100% 127.363,42 0,84% 25,46 6,36 1.199.654.289,28 31,82
Valor Máximo 760.707,73
Valor Mínimo 204,21
Valor Máximo 760.707,73
Valor Mínimo 204,21
