Distribución según concentración mayores deudores
Número Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Saldo Inicial Plazo Total años
Deudor
Préstamos Vivo Vivo Medio Medio ponder. Media ponder. media ponder

1 1 760.707,73 0,08% 760.707,73 0,72% 17,92 1.000.000,00 25,00
2 1 679.632,38 0,07% 679.632,38 0,58% 21,08 1.200.000,00 26,42
3 1 628.682,47 0,06% 628.682,47 1,02% 17,92 770.572,00 25,00
4 1 626.762,93 0,06% 626.762,93 0,71% 21,92 748.000,00 28,08
5 1 595.922,69 0,06% 595.922,69 0,83% 29,17 670.000,00 35,00
6 1 581.984,19 0,06% 581.984,19 1,00% 30,58 625.000,00 35,00
7 1 525.341,85 0,05% 525.341,85 0,61% 33,92 575.000,00 40,08
8 1 485.953,45 0,05% 485.953,45 0,82% 27,75 536.500,00 35,00
9 1 480.969,48 0,05% 480.969,48 0,95% 30,00 531.663,00 35,00
10 1 474.896,38 0,05% 474.896,38 1,06% 30,08 500.000,00 35,00

Total 10 5.840.853,55 0,59% 584.085,36 0,82% 25,37 7.156.735,00 31,34
