DATOS A NIVEL CONSOLIDADO Abanca
Corporación Bancaria (Miles de Euros),31/12/2015,31/12/2014
RIESGO CREDITICIO COMPUTABLE,27.913,28.560
RIESGO TOTAL DUDOSO (morosidad (+90)y dudosos),2.695,3.841
RIESGO DUDOSO EN MORA (morosidad +90 días),1.508,2.040
COBERTURA CONSTITUIDA total,1.647,2.053
% DE TOTAL DUDOSOS (considerando el riesgo total
dudoso),10%,13%
% DE MOROSIDAD (considerando el riesgo dudoso en mora),5%,7%
% DE MOROSIDAD HIPOTECARIA,12%,17%
% COBERTURA TOTAL / DUDOSOS (considerando el riesgo
total dudoso),61%,53%
% COBERTURA TOTAL / MOROSIDAD (considerando el
riesgo dudos en mora),48%,56%
DEUDORES CON GARANTIA REAL,16.685,16.667
ACTIVOS DETERIORADOS CON GARANTIA REAL,1.974,2.795
RIESGO DUDOSO POR RAZONES DISTINTAS A LA MOROSIDAD,1.187,1.801
COBERTURA DUDOSO POR IMPAGOS,730,1.143
(DATOS EXTRAÍDOS DE MEMORIA CONSOLIDADA GRUPO ABANCA CORPORACION
BANCARIA),,
