Nº,Denomicación,Fecha Constitución,Año,Emisión Valores
Importe Inicial,Saldo 30/04/2016
,,,,Euros,Euros
1,AyT.7 Promociones Inmobiliarias I, FTA,19‐jun‐02,2002,319.800.000,00,16.347.792,24
2,AyT.11 Fondo de Titulización Hipotecaria,30‐oct‐02,,403.000.000,00,51.445.844,05
3,AyT Génova Hipotecario II FTH,04‐jun‐03,2003,800.000.000,00,150.671.630,40
4,AyT Hipotecario III, FTH,03‐jul‐03,,330.000.000,00,46.988.969,28
5,AyT Hipotecario IV, FTH,17‐jul‐03,,350.000.000,00,38.956.668,80
6,AyT Génova Hipotecario III FTH,06‐nov‐03,,800.000.000,00,164.795.871,20
7,AyT Hipotecario Mixto, FTA,25‐feb‐04,2004,350.000.000,00,56.719.546,62
8,AyT Génova Hipotecario IV FTH,26‐mar‐04,,800.000.000,00,194.594.529,60
9,AyT Hipotecario Mixto II, FTA,29‐jun‐04,,510.000.000,00,97.552.146,36
10,AyT Hipotecario Mixto III, FTA,27‐abr‐05,2005,370.000.000,00,106.140.944,57
11,AyT Promociones Inmobiliarias III, FTA,07‐jun‐05,,300.700.000,00,51.723.005,64
12,AyT Hipotecario BBK I, FTA,08‐jun‐05,,1.000.000.000,00,358.484.468,60
13,AyT Génova Hipotecario VI FTH,09‐jun‐05,,700.000.000,00,208.745.603,60
14,AyT Hipotecario Mixto IV, FTA,22‐jun‐05,,375.000.000,00,92.959.510,65
15,AyT Génova Hipotecario VII FTH,23‐nov‐05,,1.400.000.000,00,489.480.359,94
16,AyT Cédulas Cajas Global, FTA ‐ Serie III,12‐dic‐05,,1.400.000.000,00,1.400.000.000,00
17,AyT Caja Murcia Hipotecario I, FTA,19‐dic‐05,,350.000.000,00,79.392.213,44
18,AyT Cédulas Cajas Global, FTA ‐ Serie IV,20‐feb‐06,2006,1.050.000.000,00,1.195.000.000,00
19,AyT Cédulas Cajas Global, FTA ‐ Serie VI,22‐mar‐06,,1.500.000.000,00,1.500.000.000,00
20,AyT Kutxa Hipotecario I, FTA,25‐may‐06,,750.000.000,00,323.448.132,89
21,AyT Cédulas Cajas Global, FTA ‐ Serie VII,26‐may‐06,,550.000.000,00,1.000.000.000,00
22,AyT Hipotecario BBK II, FTA,07‐jun‐06,,1.000.000.000,00,441.995.352,40
23,AyT Génova Hipotecario VIII, FTH,07‐jun‐06,,2.100.000.000,00,722.504.865,60
24,AyT Cédulas Cajas Global, FTA ‐ Serie VIII,09‐jun‐06,,2.230.000.000,00,2.230.000.000,00
25,AyT Hipotecario Mixto V, FTA,18‐jul‐06,,675.000.000,00,235.767.659,84
26,AyT Administraciones I, FTA,19‐jul‐06,,148.144.788,49,128.392.150,01
27,AyT Cédulas Cajas Global, FTA ‐ Serie X,23‐oct‐06,,1.600.000.000,00,1.600.000.000,00
28,AyT Caja Murcia Hipotecario II, FTA,06‐nov‐06,,315.000.000,00,83.958.833,91
29,AyT Deuda Subordinada I, FTA,08‐nov‐06,,298.000.000,00,298.000.000,00
30,AyT Génova Hipotecario IX, FTH,30‐nov‐06,,1.000.000.000,00,428.825.288,00
31,AyT Cédulas Cajas Global, FTA ‐ Serie XI,18‐dic‐06,,2.275.000.000,00,2.575.000.000,00
32,AyT Kutxa Hipotecario II, FTA,12‐feb‐07,2007,1.200.000.000,00,585.723.070,20
33,AyT Cédulas Cajas Global, FTA ‐ Serie XII,16‐mar‐07,,2.000.000.000,00,2.000.000.000,00
34,AyT Colaterales Global Hipotecario, FTA. Serie BBK I,24‐abr‐07,,1.500.000.000,00,851.121.782,56
35,AyT Cédulas Cajas Global, FTA ‐ Serie XIII,23‐may‐07,,1.545.000.000,00,1.545.000.000,00
36,AyT Cédulas Cajas Global, FTA ‐ Serie XIV,23‐may‐07,,425.000.000,00,425.000.000,00
37,AyT Génova Hipotecario X, FTH,21‐jun‐07,,1.050.000.000,00,483.633.465,00
38,AyT Caja Granada Hipotecario I, FTA,26‐jun‐07,,400.000.000,00,132.440.504,50
39,AyT Colaterales Global Hipotecario, FTA. Serie Vital I,26‐jul‐07,,199.900.000,00,128.488.582,43
40,AyT Colaterales Global Hipotecario, FTA. Serie Sa Nostra I,27‐jul‐07,,109.000.000,00,48.880.541,54
41,AyT Cédulas Cajas Global, FTA ‐ Serie XVI,19‐oct‐07,,1.570.000.000,00,2.810.000.000,00
42,AyT Colaterales Global Hipotecario, FTA. Serie Granada I,11‐dic‐07,,399.900.000,00,120.775.728,94
43,AyT Génova Hipotecario XI, FTH,13‐dic‐07,,1.200.000.000,00,580.627.800,00
44,AyT Colaterales Global Hipotecario, FTA. Serie CCM I,28‐dic‐07,,800.000.000,00,440.767.119,60
45,AyT Colaterales Global Hipotecario, FTA. Serie Caixa Galicia I,07‐mar‐08,2008,900.000.000,00,464.366.055,96
46,AyT Colaterales Global Hipotecario, FTA. Serie BBK II,10‐abr‐08,,1.000.000.000,00,543.339.222,70
47,AyT Colaterales Global Hipotecario, FTA. Serie Caixa Galicia II,27‐jun‐08,,950.000.000,00,448.641.338,00
48,AyT Colaterales Global Hipotecario, FTA. Serie Caja Cantabria I,09‐jul‐08,,230.000.000,00,144.615.632,80
49,AyT Génova Hipotecario XII, FTH,16‐jul‐08,,800.000.000,00,411.661.922,40
50,AyT Colaterales Global Hipotecario, FTA. Serie Caixa Laietana I,23‐jul‐08,,170.000.000,00,52.031.164,00
51,AyT Caixa Sabadell Hipotecario I, FTA,29‐jul‐08,,300.000.000,00,121.205.778,60
52,AyT ICO‐FTVPO Caja Vital Kutxa, FTA,11‐feb‐09,2009,155.000.000,00,88.088.139,92
53,AyT Colaterales Global Empresa, FTA. Serie Caja Granada I,16‐feb‐09,,175.000.000,00,26.872.371,04
54,AyT ICO‐FTVPO I, FTA,16‐mar‐09,,326.900.000,00,148.727.273,60
55,AyT Cédulas Cajas Global, FTA ‐ Serie XXIII,10‐jun‐09,,2.295.000.000,00,2.295.000.000,00
56,AyT ICO‐FTVPO Caja Murcia, FTA,29‐jun‐09,,138.000.000,00,69.101.736,00
57,AYT ICO‐FTVPO III, FTA.,27‐jul‐09,,244.000.000,00,57.114.260,00
58,AyT Cédulas Cajas Global, FTA ‐ Serie XXV,30‐nov‐09,,500.000.000,00,500.000.000,00
59,AyT Goya Hipotecario III, FTA,17‐dic‐10,2010,4.000.000.000,00,2.640.997.000,00
60,AyT Goya Hipotecario IV, FTA,15‐abr‐11,2011,1.300.000.000,00,851.449.159,60
61,AyT Goya Hipotecario V, FTA,23‐dic‐11,,1.400.000.000,00,958.662.656,00
62,Caja Ingenieros AyT.2 , FTA,10‐feb‐12,2012,450.000.000,00,349.068.156,75
63,FAB CORONA *,19‐dic‐13,2013,48.000.000,00,#N/A
64,FAB MAY *,08‐jul‐14,2014,57.613.920,00,#N/A
65,FAB Crossover I *,02‐dic‐14,2014,43.070.625,00,#N/A
* Su Saldo vivo es cero pero aún no se ha procedido a su liquidación.,,,,,
