Cartera de préstamos hipotecarios al día 12.05.2008
Clasificación por principal pendiente,,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %,
100.000,00 -124.999,99,3.858 12,33,437.928.947,50 8,02,
125.000,00 -149.999,99,4.821 15,40,666.080.064,23 12,20,
150.000,00 -174.999,99,4.743 15,15,769.781.428,41 14,10,
175.000,00 -199.999,99,4.060 12,97,758.691.283,86 13,90,
200.000,00 -224.999,99,2.918 9,32,618.916.222,93 11,34,
225.000,00 -249.999,99,2.381 7,61,564.359.020,65 10,34,
250.000,00 -274.999,99,1.548 4,95,404.686.374,19 7,41,
275.000,00 -299.999,99,962 3,07,275.473.183,46 5,05,
300.000,00 -324.999,99,511 1,63,159.229.729,20 2,92,
325.000,00 -349.999,99,367 1,17,123.173.231,82 2,26,
350.000,00 -374.999,99,241 0,77,86.921.962,81 1,59,
375.000,00 -399.999,99,144 0,46,55.669.148,58 1,02,
400.000,00 -424.999,99,97 0,31,39.960.118,90 0,73,
425.000,00 -449.999,99,68 0,22,29.678.450,16 0,54,
450.000,00 -474.999,99,52 0,17,23.975.930,46 0,44,
475.000,00 -499.999,99,38 0,12,18.540.529,15 0,34,
500.000,00 -524.999,99,19 0,06,9.711.194,16 0,18,
525.000,00 -549.999,99,19 0,06,10.239.596,84 0,19,
550.000,00 -574.999,99,16 0,05,8.931.684,82 0,16,
575.000,00 -599.999,99,14 0,04,8.279.247,50 0,15,
600.000,00 -624.999,99,6 0,02,3.661.965,59 0,07,
625.000,00 -649.999,99,9 0,03,5.771.792,29 0,11,
650.000,00 -674.999,99,19 0,06,12.601.246,18 0,23,
675.000,00 -699.999,99,12 0,04,8.219.399,19 0,15,
700.000,00 -724.999,99,9 0,03,6.405.275,42 0,12,
725.000,00 -749.999,99,4 0,01,2.944.080,05 0,05,
750.000,00 -774.999,99,6 0,02,4.563.332,65 0,08,
775.000,00 -799.999,99,9 0,03,7.106.196,51 0,13,
800.000,00 -824.999,99,5 0,02,4.096.682,33 0,08,
825.000,00 -849.999,99,5 0,02,4.168.632,84 0,08,
850.000,00 -874.999,99,2 0,01,1.717.061,94 0,03,
875.000,00 -899.999,99,4 0,01,3.566.794,05 0,07,
900.000,00 -924.999,99,1 0,00,903.186,39 0,02,
950.000,00 -974.999,99,2 0,01,1.919.850,98 0,04,
975.000,00 -999.999,99,3 0,01,2.964.940,65 0,05,
Total 31.297 100,00 5.458.411.305,76 100,00,,,
,Principal medio:,174.406,85,
,Principal mínimo:,5.919,48,
,Principal máximo:,996.555,56,
