Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por tipos de interés nominales mínimos aplicables,,,
Intervalo % Tipo Interés
mínimo,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés mín.
1,00 - 1,99,1 0,01,132.344,59 0,01,1,00
2,00 - 2,99,265 2,17,27.945.222,19 2,47,2,67
3,00 - 3,99,2.463 20,18,223.365.535,64 19,77,3,44
4,00 - 4,99,1.131 9,27,107.897.711,18 9,55,4,17
5,00 - 5,99,146 1,20,11.370.576,16 1,01,5,23
6,00 - 6,99,17 0,14,1.227.107,19 0,11,6,08
7,00 - 7,99,1 0,01,27.905,67 0,00,7,00
Sin T.I.N. mínimo aplicable,8.183 67,04,757.575.975,28 67,07,
Total 12.207 100,00 1.129.542.377,90 100,00,,,
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,
