Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por relación principal pendiente / Valor Tasación,,,
Intervalos Relación,Préstamos hipotecarios,Principal pendiente,(%) Principal
pendiente/
V. Tasación *
,%,(euros) %,
0,01 - 5,00,15 0,12,190.396,06 0,02,3,83
5,01 - 10,00,150 1,23,3.075.228,81 0,27,8,21
10,01 - 15,00,343 2,81,9.942.514,28 0,88,12,99
15,01 - 20,00,509 4,17,17.667.939,54 1,56,17,61
20,01 - 25,00,589 4,83,25.071.467,16 2,22,22,49
25,01 - 30,00,643 5,27,31.895.268,44 2,82,27,67
30,01 - 35,00,715 5,86,43.518.829,30 3,85,32,49
35,01 - 40,00,672 5,51,46.141.181,69 4,08,37,53
40,01 - 45,00,762 6,24,58.064.907,51 5,14,42,61
45,01 - 50,00,856 7,01,71.550.892,47 6,33,47,68
50,01 - 55,00,847 6,94,78.150.882,97 6,92,52,58
55,01 - 60,00,900 7,37,93.257.857,34 8,26,57,47
60,01 - 65,00,1.025 8,40,107.854.925,23 9,55,62,53
65,01 - 70,00,1.001 8,20,115.080.408,27 10,19,67,48
