Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por el año amortización final,,,
Año de amortización final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2009,1 0,01,937,44 0,00,0,16 3/10/2009
2010,2 0,02,19.781,78 0,00,11,44 11/09/2010
2011,25 0,20,579.822,66 0,05,21,59 17/07/2011
2012,46 0,38,856.768,62 0,08,33,30 7/07/2012
2013,82 0,67,1.871.253,39 0,17,46,33 8/08/2013
2014,133 1,09,3.615.664,60 0,32,57,75 22/07/2014
2015,169 1,38,5.401.713,80 0,48,69,92 27/07/2015
2016,201 1,65,6.516.835,96 0,58,81,24 6/07/2016
2017,237 1,94,8.863.162,93 0,78,93,80 23/07/2017
2018,321 2,63,12.588.320,63 1,11,105,80 23/07/2018
2019,285 2,33,13.053.397,36 1,16,117,18 5/07/2019
2020,322 2,64,14.141.122,58 1,25,129,59 16/07/2020
2021,361 2,96,18.047.270,14 1,60,141,02 29/06/2021
2022,331 2,71,18.144.134,27 1,61,153,39 11/07/2022
2023,476 3,90,28.430.418,21 2,52,165,99 29/07/2023
2024,437 3,58,27.094.616,50 2,40,175,90 26/05/2024
2025,362 2,97,21.712.871,26 1,92,189,90 26/07/2025
2026,449 3,68,32.346.691,79 2,86,201,56 16/07/2026
2027,434 3,56,32.846.440,21 2,91,213,42 12/07/2027
2028,610 5,00,50.495.225,11 4,47,226,05 30/07/2028
2029,489 4,01,42.469.666,19 3,76,236,28 7/06/2029
