n_linea,ctexto1,ctexto2,distancia,texto1,texto2
1,19,19,0,mario masiá vicente,mario masiá vicente
2,16,16,0,director general,director general
3,85,85,0,"lagasca, 120 (1º) -28006 madrid-  telf.: (34) 91 411 84  67  – fax: (34) 91 411 84 68","lagasca, 120 (1º) -28006 madrid-  telf.: (34) 91 411 84  67  – fax: (34) 91 411 84 68"
4,121,121,0,"registro mercantil de madrid. tomo 5461, folio 49, sección 8, hoja m-89355, inscripción 1ª fecha 11/03/93  nif a-80514466","registro mercantil de madrid. tomo 5461, folio 49, sección 8, hoja m-89355, inscripción 1ª fecha 11/03/93  nif a-80514466"
5,73,73,0,"d. mario masiá vicente, en su condición de director general de europea de","d. mario masiá vicente, en su condición de director general de europea de"
6,75,75,0,"titulización, s.a., sociedad gestora de fondos de titulización, debidamente","titulización, s.a., sociedad gestora de fondos de titulización, debidamente"
7,79,79,0,"facultado al efecto, y en relación con la comunicación que hemos efectuado a la","facultado al efecto, y en relación con la comunicación que hemos efectuado a la"
8,80,80,0,"comisión nacional del mercado de valores el día 3 de julio de 2014, referente al","comisión nacional del mercado de valores el día 3 de julio de 2014, referente al"
9,75,75,0,propósito de constituir un fondo denominado rural hipotecario xvii fondo de,propósito de constituir un fondo denominado rural hipotecario xvii fondo de
10,84,84,0,"titulización de activos y a la emisión, con cargo al mismo de bonos de titulización,","titulización de activos y a la emisión, con cargo al mismo de bonos de titulización,"
11,8,8,0,declara:,declara:
12,71,71,0,que el archivo pdf (rural hipotecario xvii fta folleto cnmv.pdf) con el,que el archivo pdf (rural hipotecario xvii fta folleto cnmv.pdf) con el
13,77,77,0,texto del folleto rural hipotecario xvii fondo de titulización de activos que,texto del folleto rural hipotecario xvii fondo de titulización de activos que
14,80,80,0,"les facilitamos en cd, tiene el mismo contenido que el del folleto de la emisión","les facilitamos en cd, tiene el mismo contenido que el del folleto de la emisión"
15,81,81,0,registrado en la comisión nacional del mercado de valores con fecha 1 de julio de,registrado en la comisión nacional del mercado de valores con fecha 1 de julio de
16,77,77,0,que autorizo la difusión de dicho archivo a través de la “web” de la comisión,que autorizo la difusión de dicho archivo a través de la “web” de la comisión
17,52,52,0,nacional del mercado de valores para su publicación.,nacional del mercado de valores para su publicación.
18,79,79,0,lo que declaro a requerimiento de la comisión nacional del mercado de valores a,lo que declaro a requerimiento de la comisión nacional del mercado de valores a
19,54,54,0,"los efectos oportunos en madrid, a 4 de julio de 2013.","los efectos oportunos en madrid, a 4 de julio de 2013."
20,7,7,0,folleto,folleto
21,13,13,0,julio de 2014,julio de 2014
22,22,22,0,rural hipotecario xvii,rural hipotecario xvii
23,32,32,0,fondo de titulización de activos,fondo de titulización de activos
24,32,32,0,emisión de bonos de titulización,emisión de bonos de titulización
25,16,16,0,90.000.000 euros,90.000.000 euros
