Cartera de préstamos hipotecarios al día 23.01.2007
Clasificación por principal pendiente,,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %,
25.000,00 -49.999,99,35 0,20,1.654.805,27 0,06,
50.000,00 -74.999,99,728 4,24,47.491.175,60 1,69,
75.000,00 -99.999,99,1.770 10,30,157.064.956,43 5,58,
100.000,00 -124.999,99,2.337 13,60,262.826.445,79 9,33,
125.000,00 -149.999,99,2.705 15,74,372.969.818,81 13,24,
150.000,00 -174.999,99,2.824 16,43,459.253.749,84 16,31,
175.000,00 -199.999,99,2.464 14,34,461.019.054,49 16,37,
200.000,00 -224.999,99,1.871 10,89,396.119.103,18 14,07,
225.000,00 -249.999,99,1.153 6,71,272.244.772,53 9,67,
250.000,00 -274.999,99,590 3,43,154.446.206,63 5,48,
275.000,00 -299.999,99,284 1,65,81.292.369,42 2,89,
300.000,00 -324.999,99,156 0,91,48.627.613,19 1,73,
325.000,00 -349.999,99,92 0,54,30.952.210,13 1,10,
350.000,00 -374.999,99,63 0,37,22.780.005,08 0,81,
375.000,00 -399.999,99,41 0,24,15.863.015,47 0,56,
400.000,00 -424.999,99,32 0,19,13.169.785,29 0,47,
425.000,00 -449.999,99,13 0,08,5.668.587,86 0,20,
450.000,00 -474.999,99,9 0,05,4.136.526,65 0,15,
475.000,00 -499.999,99,8 0,05,3.927.094,27 0,14,
500.000,00 -524.999,99,5 0,03,2.538.068,14 0,09,
525.000,00 -549.999,99,4 0,02,2.138.001,54 0,08,
Total 17.184 100,00 2.816.183.365,61 100,00,,,
,Principal medio:,163.884,04,
,Principal mínimo:,43.719,83,
,Principal máximo:,543.557,47,
