Cartera de préstamos hipotecarios al día 23.01.2007
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2014,1 0,01,49.991,43 0,00,94,23 30/11/2014
2015,1 0,01,69.301,90 0,00,103,23 31/08/2015
2016,1 0,01,82.320,36 0,00,111,21 30/04/2016
2017,2 0,01,472.222,60 0,02,131,25 31/12/2017
2018,1 0,01,59.299,25 0,00,136,21 31/05/2018
2019,11 0,06,1.299.819,89 0,05,154,07 26/11/2019
2020,36 0,21,3.999.365,46 0,14,163,60 11/09/2020
2021,26 0,15,2.657.041,75 0,09,171,84 19/05/2021
2022,8 0,05,992.322,51 0,04,185,80 18/07/2022
2023,40 0,23,3.755.903,93 0,13,200,24 1/10/2023
2024,133 0,77,14.642.498,39 0,52,210,03 25/07/2024
2025,153 0,89,18.060.191,50 0,64,222,52 9/08/2025
2026,91 0,53,12.011.757,15 0,43,231,61 13/05/2026
