Cartera de préstamos hipotecarios al día 28.02.2006
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,28 0,37,116.054,54 0,01,3,72
5,01 - 10,00,33 0,43,807.858,91 0,09,8,06
10,01 - 15,00,46 0,60,2.091.419,95 0,23,12,64
15,01 - 20,00,76 0,99,5.362.088,27 0,60,17,70
20,01 - 25,00,120 1,56,6.992.480,51 0,78,22,60
25,01 - 30,00,178 2,32,11.811.865,83 1,32,27,71
30,01 - 35,00,220 2,87,18.215.304,67 2,03,32,64
35,01 - 40,00,296 3,86,23.440.710,15 2,61,37,50
40,01 - 45,00,389 5,07,36.958.126,26 4,12,42,66
45,01 - 50,00,512 6,68,54.999.670,13 6,13,47,73
50,01 - 55,00,544 7,09,60.021.281,12 6,69,52,74
55,01 - 60,00,722 9,41,86.569.941,06 9,64,57,63
60,01 - 65,00,727 9,48,92.500.582,58 10,31,62,61
65,01 - 70,00,1.136 14,81,157.840.367,80 17,58,67,72
70,01 - 75,00,664 8,66,86.020.629,51 9,58,72,63
75,01 - 80,00,1.252 16,33,156.736.516,83 17,46,77,59
80,01 - 85,00,194 2,53,25.870.433,19 2,88,82,50
85,01 - 90,00,168 2,19,23.331.074,80 2,60,87,65
90,01 - 95,00,139 1,81,20.083.476,11 2,24,92,44
95,01 - 100,00,225 2,93,27.816.635,78 3,10,97,38
Total 7.669 100,00 897.586.518,00 100,00,,,
Media Ponderada: 64,70 %
Media Simple: 61,62 %
Mínimo: 0,001 %
Máximo: 99,98 %
*Relación Principal pendiente /V. Tasación son medias ponderadas por el principal pendiente.,,,
