Cartera de préstamos hipotecarios al día 28.02.2006
Clasificación por principal pendiente,,,,
Intervalo de principal
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %,,
0 -49.999,99,947 12,35,34.311.854,82 3,82,,
50.000 -99.999,99,3.102 40,45,234.698.302,04 26,15,,
100.000 -149.999,99,1.981 25,83,242.167.071,32 26,98,,
150.000 -199.999,99,875 11,41,150.558.715,97 16,77,,
200.000 -249.999,99,332 4,33,73.702.866,34 8,21,,
250.000 -299.999,99,181 2,36,49.615.833,31 5,53,,
300.000 -349.999,99,77 1,00,25.063.627,79 2,79,,
350.000 -399.999,99,62 0,81,22.951.154,02 2,56,,
400.000 -449.999,99,27 0,35,11.372.259,04 1,27,,
450.000 -499.999,99,17 0,22,8.056.834,98 0,90,,
500.000 -549.999,99,13 0,17,6.801.825,71 0,76,,
550.000 -599.999,99,11 0,14,6.420.405,80 0,72,,
600.000 -649.999,99,10 0,13,6.246.482,06 0,70,,
650.000 -699.999,99,12 0,16,8.142.935,38 0,91,,
700.000 -749.999,99,7 0,09,5.054.429,24 0,56,,
750.000 -799.999,99,8 0,10,6.148.606,74 0,69,,
800.000 -849.999,99,3 0,04,2.467.644,58 0,27,,
850.000 -899.999,99,1 0,01,854.408,00 0,10,,
950.000 -999.999,99,3 0,04,2.951.260,86 0,33,,
Total 7.669 100,00 897.586.518,00 100,00,,,,
,Principal medio:,,,117.040,88
1,00
994.541,85
,Principal mínimo:,,,
,Principal máximo:,,,
