CLASIFICACION POR DEUDOR,,,,
Deudores,Principal Pendiente,(%)
Principal
Pendiente,Nº de Préstamos,(%)
Préstamos
Deudor 1,2.156.828,96,0,11%,1,0,01%
Deudor 2,1.847.612,00,0,09%,1,0,01%
Deudor 3,1.834.803,76,0,09%,2,0,01%
Deudor 4,1.803.000,00,0,09%,1,0,01%
Deudor 5,1.726.237,23,0,08%,1,0,01%
Deudor 6,1.500.000,00,0,07%,1,0,01%
Deudor 7,1.330.319,70,0,07%,1,0,01%
Deudor 8,1.309.345,40,0,06%,1,0,01%
Deudor 9,1.300.852,39,0,06%,1,0,01%
Deudor 10,1.254.511,74,0,06%,1,0,01%
Deudor 11,1.158.811,43,0,06%,1,0,01%
Deudor 12,1.144.803,98,0,06%,1,0,01%
Deudor 13,1.087.328,03,0,05%,1,0,01%
Deudor 14,1.060.000,00,0,05%,1,0,01%
Deudor 15,967.924,23,0,05%,1,0,01%
Deudor 16,900.000,00,0,04%,1,0,01%
Deudor 17,865.487,19,0,04%,1,0,01%
Deudor 18,800.522,93,0,04%,1,0,01%
Deudor 19,799.746,06,0,04%,1,0,01%
Deudor 20,790.000,00,0,04%,1,0,01%
Resto Deudores,2.016.736.706,07,98,82%,13.895,99,85%
Total,2.040.785.095,04,100%,13.916,100,00%
