,Bonos Serie C,,,,
Vida media (años),12,27,10,77,9,48,8,48,7,60
TIR,4,322%,4,322%,4,323%,4,323%,4,323%
Duración (años),9,05,8,18,7,39,6,75,6,16
Vencimiento final,22 03 2024,22 06 2022,22 09 2020,24 06 2019,22 03 2018
(en años),17,35,15,60,13,85,12,60,11,34
,,,,,
,Bonos Serie D,,,,
Vida media (años),13,15,11,64,10,27,9,25,8,30
TIR,7,364%,7,364%,7,364%,7,364%,7,364%
Duración (años),7,78,7,19,6,63,6,16,5,71
Vencimiento final,22 03 2024,22 06 2022,22 09 2020,24 06 2019,22 03 2018
(en años),17,35,15,60,13,85,12,60,11,34
