Cartera de préstamos hipotecarios al día 23.10.2006
Clasificación por principal pendiente de vencer,,
Intervalo de principal pendiente
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %
0,00 - 24.999,99,1.140 10,93,14.960.042,71 1,52
25.000,00 - 49.999,99,1.448 13,88,53.994.714,66 5,48
50.000,00 - 74.999,99,1.822 17,47,114.582.216,49 11,64
75.000,00 - 99.999,99,1.976 18,94,172.571.786,48 17,53
100.000,00 - 124.999,99,1.489 14,27,167.041.584,69 16,97
125.000,00 - 149.999,99,1.028 9,85,140.833.904,69 14,31
150.000,00 - 174.999,99,583 5,59,93.996.498,92 9,55
175.000,00 - 199.999,99,403 3,86,74.783.013,82 7,60
200.000,00 - 224.999,99,175 1,68,36.980.520,19 3,76
225.000,00 - 249.999,99,113 1,08,26.584.144,76 2,70
250.000,00 - 274.999,99,71 0,68,18.518.652,49 1,88
275.000,00 - 299.999,99,53 0,51,15.241.165,91 1,55
300.000,00 - 324.999,99,29 0,28,9.025.893,07 0,92
325.000,00 - 349.999,99,28 0,27,9.402.052,74 0,96
350.000,00 - 374.999,99,14 0,13,5.014.831,29 0,51
375.000,00 - 399.999,99,12 0,12,4.662.817,57 0,47
400.000,00 - 424.999,99,7 0,07,2.868.982,84 0,29
425.000,00 - 449.999,99,6 0,06,2.628.577,56 0,27
450.000,00 - 474.999,99,5 0,05,2.295.973,78 0,23
475.000,00 - 499.999,99,5 0,05,2.441.476,22 0,25
500.000,00 - 524.999,99,3 0,03,1.549.343,57 0,16
525.000,00 - 549.999,99,3 0,03,1.610.814,94 0,16
575.000,00 - 599.999,99,4 0,04,2.317.791,98 0,24
600.000,00 - 624.999,99,2 0,02,1.218.490,95 0,12
625.000,00 - 649.999,99,3 0,03,1.907.292,45 0,19
650.000,00 - 674.999,99,3 0,03,1.963.881,05 0,20
675.000,00 - 699.999,99,1 0,01,678.067,83 0,07
700.000,00 - 724.999,99,2 0,02,1.416.527,89 0,14
750.000,00 - 774.999,99,2 0,02,1.541.363,41 0,16
875.000,00 - 899.999,99,1 0,01,879.303,61 0,09
925.000,00 - 949.999,99,1 0,01,948.593,28 0,10
Total 10.432 100,00 984.460.321,84 100,00,,
P rincip a l medio : 94.369,28
Principal mínimo: 201,50
Principal máximo: 948.593,28,,
