CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por Finalidad)

VIDA ACTUAL
VIDA INICIAL TIPO ACTUAL
SALDO PONDERADA Min. TIPO Máx. TIPO
NUM. SALDO ACTUAL PONDERADA PONDERADO POR
FINALIDAD ACTUAL POR SALDO ACTUAL ACTUAL
PRÉSTAMOS (euros) POR SALDO SALDO ACTUAL
(%) ACTUAL (%) (%)
INICIAL (meses) (%)
(meses)
ADQUISICIÓN DE MAQUINARIA 4 2 3.737.408,31 0,59 211,8 178,1 5,82 4,000 8,950
ADQUISICIÓN FINCAS Y SOLARES 1 05 58.704.778,87 9,23 110,1 83,1 5,52 4,000 6,250
ADQUISICIÓN LOCALES 4 14 68.962.115,00 10,85 221,9 180,5 5,56 4,600 8,000
ADQUISICIÓN NAVES 5 3.381.582,80 0,53 214,2 183,9 3,91 3,500 5,793
ADQUISICIÓN OFICINAS 8 1.931.883,83 0,30 246,3 209,2 5,49 5,355 5,900
ADQUISICIÓN SOLAR 3 0 25.537.031,33 4,02 287,7 244,7 6,11 3,530 6,750
ADQUISICIÓN VEHÍCULOS 3 2 2.096.945,62 0,33 191,9 160,5 6,03 5,223 9,500
ADQUISICIÓN VIVIENDA 1 .500 257.329.529,64 40,47 305,4 273,3 5,47 3,938 8,750
AMPLIACIÓN EQUIPAMIENTO 2 8 2.362.002,68 0,37 150,3 117,0 5,98 5,238 8,950
CONSTRUCCIÓN 3 3 6.389.113,59 1,00 200,6 142,5 5,65 5,124 6,200
CONSTRUCCIÓN VIVIENDA 8 3 23.633.619,16 3,72 158,3 125,1 5,64 4,598 8,425
FINANCIACIÓN 6 867.618,50 0,14 319,5 291,0 5,59 5,000 5,975
FINANCIACIÓN ACTIVIDAD AGRARIA 8 1.232.732,63 0,19 234,8 198,0 5,70 5,000 6,590
FINANCIACIÓN COMERCIO 3 64 61.766.629,49 9,71 223,7 193,6 5,58 4,064 8,800
FINANCIACIÓN INDUSTRIA 1 85 42.937.638,12 6,75 190,1 155,2 5,63 4,151 8,500
FINANCIACIÓN VIVIENDA 2 294.618,12 0,05 276,7 246,9 5,62 5,314 5,725
REFINANCIACIÓN DEUDA 1 84 30.514.023,61 4,80 255,8 222,4 5,69 4,614 8,900
REHABILITACIÓN 3 6 4.702.000,59 0,74 185,6 158,3 5,71 5,099 7,725
REHABILITACIÓN COMERCIO 3 4 4.886.845,24 0,77 251,9 213,3 5,69 5,000 6,293
REHABILITACIÓN INDUSTRIA 1 8 4.732.150,95 0,74 164,0 114,3 5,68 5,349 7,725
REHABILITACIÓN VIVIENDA 1 67 21.473.619,48 3,38 281,4 252,9 5,54 4,058 8,000
SIN CLASIFICAR 2 2 8.353.237,19 1,31 157,4 133,2 5,40 4,500 7,750
TOTALES 3.306 635.827.124,75 100,00 245,6 212,2 5,55 3,500 9,500
