CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por fecha de formalización)

VIDA INICIAL VIDA ACTUAL TIPO ACTUAL
FECHA SALDO Min. TIPO Máx. TIPO
NUM. SALDO ACTUAL PONDERADA POR PONDERADA POR PONDERADO POR
FORMALIZACION ACTUAL ACTUAL ACTUAL
PRÉSTAMOS (euros) SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(año) (%) (%) (%)
(meses) (meses) (%)
1996 5 261.673,24 0,04 215,0 74,5 5,21 4,000 6,250
1997 38 3.502.927,40 0,55 217,6 86,4 5,58 4,250 6,250
1998 75 5.260.523,83 0,83 220,4 101,3 5,61 4,946 6,000
1999 78 6.004.690,73 0,94 256,6 150,2 5,57 5,007 6,000
2000 89 9.602.755,81 1,51 222,4 126,0 5,66 4,000 6,022
2001 126 14.824.795,73 2,33 225,7 141,8 5,71 5,000 6,250
2002 152 17.215.841,46 2,71 267,7 196,6 5,53 5,050 6,250
2003 195 24.771.711,88 3,90 233,6 174,6 5,56 3,938 6,375
2004 305 67.247.976,72 10,58 304,8 255,6 5,73 4,058 6,750
2005 427 91.889.888,73 14,45 240,0 204,1 5,50 4,151 7,375
2006 1.039 241.005.547,93 37,90 237,9 214,7 5,50 3,500 8,500
2007 777 154.238.791,29 24,26 239,0 223,4 5,58 4,064 9,500
TOTALES 3.306 635.827.124,75 100,00 245,6 212,2 5,55 3,500 9,500
