CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por concentración por Año Finalización Carencia y Año de Vencimiento)*

AÑO DE FINALIZACIÓN
AÑO DE VENCIMIENTO NUM. PRÉSTAMOS SALDO ACTUAL (euros) SALDO ACTUAL (%)
CARENCIA
2008 32 21.261.574,00 22,71%
2008 2009 1 4.252.400,00 20,00%
2008 2010 1 800.000,00 3,76%
2008 2011 2 96.600,00 0,45%
2008 2013 1 56.000,00 0,26%
2008 2022 1 90.000,00 0,42%
2008 2023 4 2.447.000,00 11,51%
2008 2026 1 650.000,00 3,06%
2008 2028 3 1.460.000,00 6,87%
2008 2033 9 8.191.300,00 38,53%
2008 2035 1 285.000,00 1,34%
2008 2036 1 189.900,00 0,89%
2008 2038 7 2.743.374,00 12,90%
2009 61 36.079.957,48 38,53%
2009 2009 14 12.846.555,00 35,61%
2009 2010 3 1.700.230,00 4,71%
2009 2011 1 193.000,00 0,53%
2009 2014 3 193.100,00 0,54%
2009 2017 1 70.000,00 0,19%
2009 2019 2 2.448.000,00 6,78%
2009 2021 1 150.000,00 0,42%
2009 2023 1 163.000,00 0,45%
2009 2024 9 6.942.400,00 19,24%
2009 2027 2 2.009.420,00 5,57%
2009 2029 4 2.388.000,00 6,62%
2009 2034 5 1.770.300,00 4,91%
2009 2037 3 600.252,00 1,66%
2009 2039 11 4.240.700,48 11,75%
2009 2044 1 365.000,00 1,01%
2010 15 16.371.529,54 17,48%
2010 2010 12 15.168.737,80 92,65%
2010 2025 1 280.540,00 1,71%
2010 2030 1 185.900,00 1,14%
2010 2035 1 736.351,74 4,50%
2011 9 19.929.485,92 21,28%
2011 2011 5 3.222.000,00 16,17%
2011 2041 2 13.477.683,65 67,63%
2011 2046 2 3.229.802,27 16,21%
TOTAL 117 93.642.546,94 100,00%
*Préstamos con Carencia Inicial de Principal
