CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por actividad del deudor)

ACTIVIDAD DEL DEUDOR PRÉ N S U T M AM . OS SALD (e O u r A o C s T ) UAL A S C A ( T % L U D ) A O L PO S V A N I L D D ( D m E A O R e IN A s IN e I D C s I A C I ) A I P A L O L R V P P I O D O A ( N A m R C D A e T S E s C U A R e T A L s A U L D ) D A O A L P S O T A N I L P D D O E O R ( A % A A C ) D C T O T U U A P A L O L R M A i C n ( T . % T U ) I A P L O M A á C x ( T . % U T ) I A P L O
Actividades anexas al transporte. Agencia viaje. 31 7.439.728,35 1,17 220,5 187,0 5,60 3,938 6,397
Actividades diversas de servicios personales 76 10.288.262,19 1,62 310,3 277,8 5,50 4,000 5,994
Actividades informáticas. 29 4.247.673,75 0,67 279,1 251,1 5,45 4,250 6,316
Actividades inmobiliarias 738 215.482.088,12 33,89 200,8 167,9 5,51 4,000 8,900
Administración pública y Seguridad Social obligat 9 955.107,41 0,15 237,2 204,8 5,60 5,253 5,820
Agricultura, Ganadería,Caza, actividades relaciona 35 4.176.122,53 0,66 252,5 220,8 5,63 5,099 6,750
Alquiler de Maquinaria, efectos personales y enser 19 2.413.573,10 0,38 268,4 238,4 5,57 5,340 5,873
Asociativas 11 1.672.685,48 0,26 282,4 234,2 5,41 5,099 6,375
Capatción, depuración y distribución de agua. 2 300.194,58 0,05 360,0 313,2 5,57 5,362 5,725
Caucho y materias plásticas. 8 861.321,79 0,14 239,7 161,0 5,58 5,320 5,857
Comercio al por mayor e intermediarios del comerci 153 30.116.675,78 4,74 229,3 195,9 5,61 4,470 9,500
Comercio al por menor, reparación art. Personales 407 57.472.686,07 9,04 283,0 249,8 5,54 4,064 8,950
Confección y Peletería 7 717.648,93 0,11 208,9 165,6 5,77 5,362 7,750
Construcción de Maquinaria y equipo mecánico. 24 4.320.611,46 0,68 241,1 205,0 5,62 5,000 7,750
Construcción. 561 110.626.817,73 17,40 282,5 249,5 5,61 3,500 7,750
Correo y telecomunicaciones. 9 1.273.524,81 0,20 299,0 267,2 5,58 5,349 6,244
Curtido, artículos marroquinería y viajes, guarnic 1 43.694,03 0,01 180,0 127,0 5,61 5,607 5,607
Edición, artes gráficas y reproducción. 23 3.441.364,08 0,54 221,9 196,6 5,80 4,600 8,950
Educación. 31 5.426.078,14 0,85 286,1 254,1 5,46 5,090 6,125
Energía eléctrica: gas, vapor agua caliente. 5 695.996,76 0,11 186,5 160,8 6,04 5,666 6,950
Hogares que emplean personal doméstico 3 632.840,41 0,10 283,5 242,3 5,54 5,340 5,820
Hostelería. 281 43.920.276,48 6,91 264,3 227,9 5,60 4,600 8,800
Instrumentos médicos de precisión, óptica y reloje 1 341.538,54 0,05 240,0 204,0 5,50 5,498 5,498
Madera, corcho, cestería y espartería. 33 3.994.444,74 0,63 280,3 243,3 5,52 5,099 7,166
Maquinaria y material eléctrico. 5 466.162,89 0,07 243,9 221,4 5,50 5,023 7,500
Máquinas oficinas y equipos informáticos. 1 182.886,93 0,03 240,0 221,0 5,72 5,725 5,725
Material electrónico: radio, televisión y comunica 1 198.169,37 0,03 300,0 256,0 5,46 5,457 5,457
Metalúrgia 13 1.785.542,17 0,28 220,1 186,0 5,68 5,374 7,647
Minerales Metálicos. 5 438.540,72 0,07 180,1 153,0 5,58 5,000 5,875
Minerales no metálicos ni energéticos 6 749.125,08 0,12 212,1 192,6 5,28 4,300 5,849
Muebles, otras industrias manufactureras. 16 2.180.859,25 0,34 238,8 206,9 5,88 5,216 8,750
Otras actividades empresariales. 213 37.785.619,95 5,94 249,2 217,1 5,53 4,600 8,250
Otro material de transporte. 1 87.754,57 0,01 360,0 305,0 5,47 5,475 5,475
Papel 2 247.846,57 0,04 319,0 296,5 5,80 5,470 7,900
Pesca 5 357.177,47 0,06 259,9 184,4 5,41 4,000 6,320
Petróleo, gas natural y actividades relacionadas. 5 770.153,75 0,12 237,6 201,5 5,50 5,248 6,107
Producto: metálicos excepto maquinaria y equipos. 46 6.226.349,29 0,98 237,6 203,6 5,62 5,000 7,750
Productos alimenticios y bebidas 23 3.549.429,58 0,56 189,6 155,6 5,68 5,157 6,849
Productos minerales no metálicos. 16 2.749.867,21 0,43 254,6 214,9 5,58 5,214 6,166
Química 10 1.376.374,36 0,22 228,3 195,7 5,42 5,124 7,000
Reciclaje 3 161.533,00 0,03 159,7 60,6 5,99 5,604 6,139
Recreativas, culturales y deportivas. 47 8.684.551,61 1,37 255,7 226,8 5,54 4,350 7,000
Saneamiento público 2 351.842,43 0,06 329,6 304,8 5,97 5,625 6,043
Sanitarias, veterinarias y servicio social. 65 8.671.578,17 1,36 275,9 239,0 5,46 4,300 8,000
Selvicultura, forestal y actividades relacionadas. 1 328.160,08 0,05 420,0 401,0 5,65 5,647 5,647
Textil 18 2.797.061,31 0,44 212,9 180,3 5,66 4,850 6,349
Transporte aereo y especial. 1 245.580,31 0,04 360,0 345,0 5,35 5,349 5,349
Transporte terrestre, transporte por tuberías. 206 29.008.866,98 4,56 312,5 279,6 5,55 4,998 8,500
Uranio y bario. 4 507.599,94 0,08 187,4 143,7 5,75 5,349 6,070
Vehículos a motor, remolques y semiremolques. 2 155.485,90 0,02 160,2 111,6 5,43 5,207 5,750
Venta y mantenimiento vehículos. Venta menor comb 92 14.902.050,60 2,34 241,3 205,5 5,56 5,090 7,500
TOTALES 3.306 635.827.124,75 100,00 245,6 212,2 5,55 3,500 9,500
