CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por Tipo Bien Hipotecado)*,
,
TIPO BIEN HIPOTECADO PRÉ N S U T M AM . OS SALD (e O u r A o C s T ) UAL A S C A ( T % L U D ) A O L PO S V A N I L D D ( D m E A O R e I N A s IN e I D C s I A C I ) A I P A L O L R P S O V A N I L D D D ( A m E O R A e A A s C e C D T s T A U ) U A P A L O L R P S O T A N I L P D D O E O R ( A % A A C ) D C T O T U U A P A L O L R M A i C n ( T . % T U ) I A P L O M A á C x ( T . % U T ) I A P L O,
CASA 130 29.117.766,49 4,69 238,2 203,3 5,59 4,750 7,375
CHALET 140 31.908.096,93 5,14 289,9 259,5 5,45 4,250 6,543
CHALET ADOSADO 138 30.080.857,08 4,84 265,5 235,0 5,54 4,200 6,320
FÁBRICA 68 37.502.141,17 6,04 286,6 242,2 5,90 3,500 6,750
FINCA RÚSTICA 26 14.679.034,63 2,36 120,8 87,3 5,49 5,238 6,090
FINCA URBANA COMPLETA 238 45.890.306,11 7,39 259,8 212,9 5,56 4,058 6,451
GARAJE 6 680.136,82 0,11 243,8 199,9 5,60 5,060 6,043
LOCAL COMERCIAL 481 70.252.298,32 11,31 222,9 189,2 5,56 4,600 6,820
NAVE/ALMACEN 135 37.913.770,98 6,10 199,1 160,9 5,53 4,340 6,250
NAVE/LOCAL COMERCIAL 1 499.528,59 0,08 180,0 143,0 5,99 5,987 5,987
OBRA CIVIL 1 564.258,96 0,09 300,0 273,0 5,10 5,099 5,099
OTROS TERRENOS URBANOS 60 25.418.644,96 4,09 179,0 148,1 5,52 4,000 8,425
PISO/APARTAMENTO 1.590 240.901.541,05 38,77 304,1 272,7 5,48 3,938 6,505
SOLAR EDIFICABLE 107 54.335.514,82 8,74 86,2 61,9 5,51 3,530 6,650
TRASTERO 1 37.429,52 0,01 180,0 80,0 5,75 5,750 5,750
UNIDAD ORGÁNICA EXPLOTACIÓN 9 1.553.817,16 0,25 176,8 102,0 5,56 5,338 5,874,
TOTALES 3.131 621.335.143,59 100,00 249,5 215,9 5,54 3,500 8,425,
* Estos datos se refieren únicamente a los préstamos de la cartera con garantía hipotecaria,
