,Nombre,,,Cargo,
,D. Francisco Javier Soriano Arosa,,,Presidente,
,Caja Municipal de Burgos, representado por D. Vicente,,Consejero,Consejero,
,Palacios Martínez,,,,
,D. Francisco Javier Sáiz Alonso,,,Consejero,
,D. Víctor Iglesias Ruiz,,,Consejero,
,Caja de Ahorros del Mediterráneo, representado por D.,,Consejero,Consejero,
,Juan Luis Sabater Navarro,,,,
,D. Gumersindo Ruiz Bravo de Mansilla,,,Consejero,
,D. José Carlos Contreras Gómez,,,Consejero,
,Bear Stearns Spanish Securitization Corporation,,,Consejero,Consejero,
,representado por D. Jesús Río Cortés,,,,
