CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por vida actual)

VIDA INICIAL VIDA ACTUAL TIPO ACTUAL
SALDO Min. TIPO Máx. TIPO
VIDA ACTUAL NUM. SALDO ACTUAL PONDERADA POR PONDERADA POR PONDERADO POR
ACTUAL ACTUAL ACTUAL
(meses) PRÉSTAMOS (euros) SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(%) (%) (%)
(meses) (meses) (%)
0,00 - 24,00 110 57.451.049,22 9,04 38,71 16,06 5,56 5,000 7,750
24,00 - 48,00 152 35.181.428,25 5,53 65,41 35,14 5,69 4,250 9,500
48,00 - 72,00 111 10.169.165,76 1,60 130,04 60,47 5,77 4,946 8,500
72,00 - 96,00 139 14.434.700,38 2,27 142,89 83,63 5,78 4,873 8,950
96,00 - 120,00 211 30.780.015,77 4,84 152,68 106,09 5,66 4,000 8,750
120,00 - 144,00 217 30.108.819,71 4,74 190,55 131,70 5,60 3,938 7,375
144,00 - 168,00 343 57.400.888,75 9,03 188,47 157,15 5,60 5,000 6,494
168,00 - 192,00 154 28.902.614,07 4,55 222,17 182,16 5,14 3,500 6,820
192,00 - 216,00 246 36.966.753,43 5,81 245,22 205,27 5,59 5,007 6,566
216,00 - 240,00 370 69.921.399,75 11,00 251,76 224,44 5,55 4,470 6,494
240,00 - 264,00 143 22.741.456,63 3,58 295,70 252,34 5,41 4,340 5,964
264,00 - 288,00 257 47.517.427,97 7,47 302,78 278,61 5,50 4,700 6,147
288,00 - 312,00 132 28.537.120,43 4,49 342,48 300,95 5,44 4,058 6,293
312,00 - 336,00 289 53.452.527,74 8,41 360,17 327,19 5,47 4,300 6,389
336,00 - 360,00 301 64.654.655,97 10,17 362,55 343,85 5,42 4,350 6,293
360,00 - 384,00 24 8.462.191,84 1,33 395,43 368,30 5,41 4,250 5,820
384,00 - 408,00 101 34.555.272,85 5,43 429,02 396,90 5,98 5,090 6,750
408,00 - 432,00 3 994.833,96 0,16 432,00 413,81 4,93 4,200 5,348
432,00 - 456,00 3 3.594.802,27 0,57 477,34 450,53 6,17 5,516 6,650
TOTALES 3.306 635.827.124,75 100,00 245,58 212,21 5,55 3,500 9,500
