CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por ratio saldo actual/ valor de tasación)* **

RATIO SALDO
RATIO SALDO VIDA INICIAL VIDA ACTUAL TIPO ACTUAL
SALDO ACTUAL/ VALOR Min. TIPO Máx. TIPO
ACTUAL/VALOR NUM. SALDO ACTUAL PONDERADA POR PONDERADA POR PONDERADO POR
ACTUAL TASACION ACTUAL ACTUAL
TASACION PRÉSTAMOS (euros) SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(%) PONDERADO POR (%) (%)
(%) (meses) (meses) (%)
SALDO ACTUAL (%)
0,00 - 10,00 76 2.085.399,62 0,34 192,88 139,01 5,56 6,54 3,938 6,250
10,00 - 20,00 117 10.996.863,61 1,77 174,11 129,81 5,60 16,28 4,600 6,250
20,00 - 30,00 225 25.171.100,44 4,05 224,67 176,16 5,67 24,86 4,946 6,250
30,00 - 40,00 322 51.126.958,23 8,23 212,00 166,14 5,54 35,20 4,250 6,543
40,00 - 50,00 357 60.028.846,46 9,66 223,13 179,93 5,53 45,39 4,250 6,293
50,00 - 60,00 484 90.421.917,47 14,55 229,77 194,10 5,60 55,87 4,000 8,425
60,00 - 70,00 845 216.760.780,60 34,89 228,34 199,59 5,47 66,16 3,500 7,375
70,00 - 80,00 542 116.740.517,73 18,79 297,27 270,43 5,42 75,06 4,000 6,566
80,00 - 90,00 71 14.351.881,36 2,31 331,02 305,53 5,54 84,99 4,800 6,293
90,00 - 100,00 67 15.836.847,81 2,55 351,73 329,61 5,55 95,18 4,200 6,070
100,00 - 110,00 10 2.283.962,07 0,37 409,80 377,03 5,96 102,77 5,257 6,650
110,00 - 120,00 5 873.635,19 0,14 267,07 245,58 5,66 112,40 5,514 5,772
120,00 - 130,00 5 593.254,93 0,10 325,21 294,45 5,41 123,35 5,238 5,820
130,00 - 140,00 2 277.570,42 0,04 340,90 322,92 5,28 135,21 5,098 5,664
140,00 - 150,00 2 667.924,00 0,11 360,00 335,45 5,24 143,99 5,123 5,340
170,00 - 180,00 1 13.117.683,65 2,11 444,00 391,00 6,75 172,65 6,750 6,750
TOTALES 3.131 621.335.143,59 100,00 249,50 215,87 5,54 62,81 3,500 8,425
* Estos datos se refieren únicamente a los préstamos de la cartera con garantía hipotecaria
** Para préstamos con rango hipotecario de segunda o posterior hipoteca, el ratio se ha calculado teniendo en cuenta el saldo de los préstamos con rango anterior al préstamo de la cartera provisional
