CLASIFICACIÓN POR DEUDOR,Principal Pendiente,,Préstamos,
Deudor,Euros %,,Número %,
Deudor 1,15.617.916,62,0,93,1,0,01%
Deudor 2,15.000.000,00,0,89,1,0,01%
Deudor 3,15.000.000,00,0,89,1,0,01%
Deudor 4,14.500.000,00,0,86,1,0,01%
Deudor 5,12.722.927,42,0,76,2,0,01%
Deudor 6,12.478.658,79,0,74,2,0,01%
Deudor 7,11.054.687,50,0,66,1,0,01%
Deudor 8,9.879.333,34,0,59,1,0,01%
Deudor 9,9.250.000,00,0,55,1,0,01%
Deudor 10,8.005.675,02,0,48,1,0,01%
Resto de Deudores,1.559.807.756,97,92,66,14.296,99,92%
Total:,1.683.316.955,66,100,00,14.308,100,00%
