RATIO SALDO VIVO,Principal Pendiente,,Préstamos,
Intervalos Relación (%),Euros,%,Número,%
1,00-5,00,507.921,73,0,17%,19,0,94%
5,01-10,00,3.079.166,75,1,02%,38,1,88%
10,01-15,00,6.187.754,99,2,05%,69,3,41%
15,01-20,00,7.932.164,02,2,62%,90,4,45%
20,01-25,00,13.917.801,04,4,60%,135,6,67%
25,01-30,00,19.031.523,97,6,30%,161,7,96%
30,01-35,00,32.104.076,05,10,62%,211,10,43%
35,01-40,00,30.102.750,54,9,96%,236,11,67%
40,01-45,00,43.217.588,70,14,30%,273,13,49%
45,01-50,00,48.068.021,12,15,90%,257,12,70%
50,01-55,00,36.380.141,98,12,04%,197,9,74%
55,01-60,00,32.417.808,01,10,72%,184,9,10%
60,01-65,00,13.577.604,83,4,49%,72,3,56%
65,01-70,00,8.132.957,15,2,69%,46,2,27%
70,01-75,00,4.862.815,96,1,61%,24,1,19%
75,01-80,00,2.469.794,20,0,82%,10,0,49%
80,00>=,280.000,00,0,09%,1,0,05%
Total:,302.269.891,04,100,00%,2.023,100,00%
