Fecha de Fijación de tipo,Euribor,Serie A1,Serie A2,Serie B,Serie C
,3 meses,,,,
Margen:,,0,14%,0,17%,0,40%,0,70%
3 de noviembre de 2006,,,,,
4 de octubre de 2006,3,455%,3,595%,3,625%,3,855%,4,155%
4 de septiembre de 2006,3,270%,3,410%,3,440%,3,670%,3,970%
4 de agosto de 2006,3,202%,3,342%,3,372%,3,602%,3,902%
4 de julio de 2006,3,055%,3,195%,3,225%,3,455%,3,755%
5 de junio de 2006,2,961%,3,101%,3,131%,3,361%,3,661%
4 de mayo de 2006,2,856%,2,996%,3,026%,3,256%,3,556%
4 de abril de 2006,2,821%,2,961%,2,991%,3,221%,3,521%
3 de marzo de 2006,2,688%,2,828%,2,858%,3,088%,3,388%
3 de febrero de 2006,2,569%,2,709%,2,739%,2,969%,3,269%
4 de enero de 2006,2,490%,2,630%,2,660%,2,890%,3,190%
5 de diciembre de 2005,2,452%,2,592%,2,622%,2,852%,3,152%
4 de noviembre de 2005,2,266%,2,406%,2,436%,2,666%,2,966%
4 de octubre de 2005,2,178%,2,318%,2,348%,2,578%,2,878%
5 de septiembre de 2005,2,128%,2,268%,2,298%,2,528%,2,828%
4 de agosto de 2005,2,130%,2,270%,2,300%,2,530%,2,830%
4 de julio de 2005,2,112%,2,252%,2,282%,2,512%,2,812%
3 de junio de 2005,2,116%,2,256%,2,286%,2,516%,2,816%
4 de mayo de 2005,2,125%,2,265%,2,295%,2,525%,2,825%
4 de abril de 2005,2,147%,2,287%,2,317%,2,547%,2,847%
4 de marzo de 2005,2,132%,2,272%,2,302%,2,532%,2,832%
4 de febrero de 2005,2,140%,2,280%,2,310%,2,540%,2,840%
4 de enero de 2005,2,148%,2,288%,2,318%,2,548%,2,848%
3 de diciembre de 2004,2,174%,2,314%,2,344%,2,574%,2,874%
4 de noviembre de 2004,2,160%,2,300%,2,330%,2,560%,2,860%
4 de octubre de 2004,2,146%,2,286%,2,316%,2,546%,2,846%
3 de septiembre de 2004,2,119%,2,259%,2,289%,2,519%,2,819%
4 de agosto de 2004,2,118%,2,258%,2,288%,2,518%,2,818%
5 de julio de 2004,2,111%,2,251%,2,281%,2,511%,2,811%
4 de junio de 2004,2,100%,2,240%,2,270%,2,500%,2,800%
4 de mayo de 2004,2,072%,2,212%,2,242%,2,472%,2,772%
5 de abril de 2004,2,054%,2,194%,2,224%,2,454%,2,754%
4 de marzo de 2004,2,050%,2,190%,2,220%,2,450%,2,750%
4 de febrero de 2004,2,084%,2,224%,2,254%,2,484%,2,784%
5 de enero de 2004,2,111%,2,251%,2,281%,2,511%,2,811%
3 de diciembre de 2003,2,174%,2,314%,2,344%,2,574%,2,874%
4 de noviembre de 2003,2,163%,2,303%,2,333%,2,563%,2,863%
