Vida Media, TIR, Duración y Vida Final Estimada en Función de Diferentes TACPs:
A1 8% 10% 12% 14% 16%
Vida Media 2.87 2.84 2.80 2.77 2.74
TIR 3.84% 3.84% 3.84% 3.84% 3.84%
Duración 2.63 2.60 2.57 2.54 2.52
Vida Final Estimada 3.56 3.56 3.56 3.31 3.31
A2 8% 10% 12% 14% 16%
Vida Media 5.33 5.20 5.06 4.93 4.83
TIR 3.87% 3.87% 3.87% 3.87% 3.87%
Duración 4.64 4.54 4.44 4.33 4.25
Vida Final Estimada 7.56 7.31 7.06 6.81 6.81
B 8% 10% 12% 14% 16%
Vida Media 5.84 5.55 5.46 5.38 5.34
TIR 4.11% 4.11% 4.11% 4.11% 4.11%
Duración 5.00 4.79 4.72 4.66 4.63
Vida Final Estimada 7.56 7.31 7.06 6.81 6.81
C 8% 10% 12% 14% 16%
