IMPORTES INICIALES DE LOS PRÉSTAMOS,Principal Pendiente,,Préstamos,
Intervalo (euros),Euros %,,Número %,
1 - 100.000,269.331.559,71,16,00%,9.969,69,67%
100.001 - 200.000,217.765.859,32,12,94%,2.042,14,27%
200.001 - 300.000,169.000.674,78,10,04%,885,6,19%
300.001 - 400.000,95.923.220,70,5,70%,381,2,66%
400.001 - 500.000,91.041.449,72,5,41%,267,1,87%
500.001 - 600.000,81.394.733,45,4,84%,194,1,36%
600.001 - 700.000,36.380.956,66,2,16%,77,0,54%
700.001 - 800.000,42.903.817,79,2,55%,83,0,58%
800.001 - 900.000,29.000.772,32,1,72%,49,0,34%
900.001 - 1.000.000,59.006.894,36,3,51%,80,0,56%
1.000.001 - 1.100.000,8.376.890,12,0,50%,12,0,08%
1.100.001 - 1.200.000,25.511.350,94,1,52%,30,0,21%
1.200.001 - 1.300.000,11.881.479,67,0,71%,14,0,10%
1.300.001 - 1.400.000,12.495.307,04,0,74%,12,0,08%
1.400.001 - 1.500.000,47.513.633,65,2,82%,45,0,31%
1.500.001 - 1.600.000,10.981.807,64,0,65%,11,0,08%
1.600.001 - 1.700.000,7.805.080,61,0,46%,5,0,03%
1.700.001 - 1.800.000,13.439.717,83,0,80%,11,0,08%
1.800.001 - 1.900.000,2.358.922,69,0,14%,2,0,01%
1.900.001 - 2.000.000,48.725.475,01,2,89%,31,0,22%
2.100.001 - 2.200.000,1.953.377,92,0,12%,1,0,01%
2.200.001 - 2.300.000,12.334.559,48,0,73%,7,0,05%
2.300.001 - 2.400.000,3.908.266,44,0,23%,2,0,01%
2.400.001 - 2.500.000,19.893.542,48,1,18%,9,0,06%
2.500.001 - 2.600.000,1.260.000,00,0,07%,1,0,01%
2.600.001 - 2.700.000,4.311.321,60,0,26%,2,0,01%
2.700.001 - 2.800.000,4.082.440,27,0,24%,2,0,01%
2.800.001 - 2.900.000,2.210.492,84,0,13%,1,0,01%
2.900.001 - 3.000.000,39.679.819,61,2,36%,16,0,11%
3.000.001 - 3.100.000,4.321.819,92,0,26%,2,0,01%
3.100.001 - 3.200.000,2.465.555,56,0,15%,1,0,01%
3.200.001 - 3.300.000,6.069.342,83,0,36%,2,0,01%
3.300.001 - 3.400.000,5.514.026,58,0,33%,2,0,01%
3.500.001 - 3.600.000,3.600.000,00,0,21%,1,0,01%
3.600.001 - 3.700.000,3.074.591,22,0,18%,1,0,01%
3.700.001 - 3.800.000,1.374.659,61,0,08%,1,0,01%
3.800.001 - 3.900.000,1.748.574,76,0,10%,1,0,01%
3.900.001 - 4.000.000,28.827.482,55,1,71%,10,0,07%
4.100.001 - 4.200.000,13.833.029,42,0,82%,4,0,03%
4.200.001 - 4.300.000,1.682.800,00,0,10%,1,0,01%
4.300.001 - 4.400.000,3.300.000,05,0,20%,1,0,01%
4.400.001 - 4.500.000,4.122.172,06,0,24%,2,0,01%
4.600.001 - 4.700.000,7.883.617,96,0,47%,3,0,02%
4.900.001 - 5.000.000,15.053.502,35,0,89%,5,0,03%
5.000.001 >=,209.972.356,14,12,47%,30,0,21%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
