AÑOS DE VENCIMIENTO DE LOS PRÉSTAMOS,Principal Pendiente,,Préstamos,
Intervalo,Euros %,,Número %,
2006,28.491,11,0,00%,6,0,04%
2007,36.172.262,54,2,15%,484,3,38%
2008,171.154.294,86,10,17%,2454,17,15%
2009,218.426.043,35,12,98%,2950,20,62%
2010,306.403.020,77,18,20%,2872,20,07%
2011,302.268.308,21,17,96%,2434,17,01%
2012,161.841.652,18,9,61%,687,4,80%
2013,117.297.140,99,6,97%,600,4,19%
2014,38.436.587,50,2,28%,225,1,57%
2015,47.109.512,73,2,80%,238,1,66%
2016,50.614.850,14,3,01%,195,1,36%
2017,23.843.946,69,1,42%,136,0,95%
2018,40.511.877,50,2,41%,241,1,68%
2019,45.797.397,46,2,72%,252,1,76%
>=2020,123.411.569,63,7,33%,534,3,73%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
Año vencimiento máximo: 2025
Año vencimiento mínimo: 2006
Año vencimiento medio: 2011
Año vencimiento medio ponderado: 2012,,,,
