AÑO DE FORMALIZACIÓN DE LOS PRÉSTAMOS,Principal Pendiente,,Préstamos,
Intervalo,Euros %,,Número %,
2000,9.331.541,80,0,55%,88,0,62%
2001,16.037.917,49,0,95%,173,1,21%
2002,57.992.567,50,3,45%,579,4,05%
2003,230.337.633,89,13,68%,1.972,13,78%
2004,417.438.330,27,24,80%,3.049,21,31%
2005,626.002.447,83,37,19%,5.020,35,09%
2006,326.176.516,88,19,38%,3.427,23,95%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
Año formalización máximo: 2006
Año formalización mínimo: 2000
Año formalización medio: 2005
Año formalización medio ponderado: 2005,,,,
