CLASIFICACIÓN POR SECTORES DE LOS PRÉSTAMOS,Principal Pendiente,,Préstamos,
Descripción del Sector (Códigos CNAE),Euros %,,Número %,
Actividades anexas a los transportes. Actividades de agencias de viaje,18.467.012,78,1,10%,176,1,23%
Actividades asociativas,8.145.208,18,0,48%,118,0,82%
Actividades auxiliares a la intermediación financiera,3.748.592,25,0,22%,43,0,30%
Actividades de saneamiento público,2.340.397,25,0,14%,13,0,09%
Actividades diversas de servicios personales,17.633.882,65,1,05%,257,1,80%
Actividades informáticas,5.734.517,62,0,34%,35,0,24%
Actividades inmobiliarias,115.014.713,11,6,83%,396,2,77%
Actividades recreativas, culturales y deportivas,33.413.571,40,1,98%,120,0,84%
Actividades sanitarias y veterinarias, servicios sociales,28.893.233,63,1,72%,338,2,36%
Administración pública, defensa y seguridad social obligatoria,2.891.069,58,0,17%,4,0,03%
Agricultura, ganadería caza y actividades relacionadas,71.858.876,84,4,27%,678,4,74%
Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domésticos,13.045.052,36,0,77%,84,0,59%
Captación, depuración y distribución de agua,2.893.698,14,0,17%,13,0,09%
Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor,125.200.373,96,7,44%,1.081,7,56%
Comercio al por menor, excepto el comercio de vehículos de motor,122.359.665,39,7,27%,1.346,9,41%
Construcción,122.061.587,16,7,25%,1.458,10,19%
Coquerías, refino de petróleo y tratamiento de combustibles nucleares,941.089,58,0,06%,14,0,10%
Correos y telecomunicaciones,1.655.767,27,0,10%,26,0,18%
Edición, artes gráficas y reproducción de soportes grabados,20.738.801,72,1,23%,210,1,47%
Educación,9.001.150,72,0,53%,103,0,72%
Extracción de crudos de petróleo y gas natural.,199.947,90,0,01%,1,0,01%
Extracción de minerales metálicos,571.215,03,0,03%,3,0,02%
Extracción de minerales no metálicos ni energéticos,17.011.609,76,1,01%,91,0,64%
Extracción y aglomeración de antracita, hulla, lignito y turba,688.955,52,0,04%,4,0,03%
Fabricación de equipo e instrumentos medico-quirúrgicos, de precisión óptica y relojería,430.136,89,0,03%,10,0,07%
Fabricación de maquinaria y material eléctrico,23.294.380,66,1,38%,124,0,87%
Fabricación de material electrónico,5.997.610,69,0,36%,53,0,37%
Fabricación de muebles. Otras industrias manufactureras,19.507.022,48,1,16%,222,1,55%
Fabricación de máquinas de oficina y equipos informáticos,2.847.935,47,0,17%,31,0,22%
Fabricación de otro material de transporte,3.382.699,76,0,20%,13,0,09%
Fabricación de otros productos de minerales no metálicos,76.338.013,31,4,53%,344,2,40%
Fabricación de productos de caucho y materias plásticas,21.844.093,48,1,30%,140,0,98%
Fabricación de productos metálicos, excepto maquinaría y equipo,52.768.497,20,3,13%,506,3,54%
Fabricación de textiles y productos textiles,19.433.970,32,1,15%,160,1,12%
Fabricación de vehículos de motor, remolques y semirremolques,20.443.750,53,1,21%,31,0,22%
Hogares que emplean personal doméstico,150.524,61,0,01%,5,0,03%
Hostelería,92.155.548,54,5,47%,870,6,08%
Industria de la confección y de la peletería,6.331.635,36,0,38%,73,0,51%
Industria de la construcción de maquinaria y equipo mecánico,30.041.387,30,1,78%,197,1,38%
Industria de la madera y del corcho, excepto muebles, cestería y espartería,32.294.134,67,1,92%,417,2,91%
Industria de productos alimenticios y bebidas,139.354.548,04,8,28%,713,4,98%
Industria del papel,7.801.108,88,0,46%,53,0,37%
Industria del tabaco,69.795,01,0,00%,3,0,02%
Industria química,29.484.796,38,1,75%,202,1,41%
Intermediación financiera, excepto seguros y planes de pensiones,407.762,94,0,02%,4,0,03%
Investigación y desarrollo,177.619,76,0,01%,5,0,03%
Metalurgia,38.088.602,54,2,26%,140,0,98%
Otras actividades empresariales,115.723.854,92,6,87%,660,4,61%
Pesca, acuicultura y actividades de los servicios relacionados con las mismas,14.236.688,05,0,85%,74,0,52%
Preparación, curtido y acabado del cuero,3.651.873,94,0,22%,72,0,50%
Producción y distribución de energía eléctrica, gas, vapor y agua caliente,6.833.081,60,0,41%,67,0,47%
Reciclaje,2.756.719,09,0,16%,17,0,12%
Seguros y planes de pensiones, excepto seguridad social obligatoria,440.192,14,0,03%,11,0,08%
Selvicultura, explotación forestal y actividades relacionadas,5.432.421,73,0,32%,63,0,44%
Sin clasificar,49.342.257,59,2,93%,699,4,89%
Transporte aéreo y espacial,5.324.047,50,0,32%,8,0,06%
Transporte marítimo, de cabotaje y ora vías de navegación interiores,3.030.860,70,0,18%,5,0,03%
Transporte terrestre; Transporte por tuberías,62.835.218,01,3,73%,1.130,7,90%
Venta, mantenimiento y reparación de vehículos de motor,46.554.175,77,2,77%,574,4,01%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
