PRINCIPAL PENDIENTE DE LOS PRÉSTAMOS,Principal Pendiente,,Préstamos,
Intervalo (euros),Euros %,,Número %,
1 - 100.000,343.590.356,70,20,41%,10.982,76,75%
100.001 - 200.000,232.005.264,98,13,78%,1.653,11,55%
200.001 - 300.000,165.472.990,61,9,83%,671,4,69%
300.001 - 400.000,100.956.847,43,6,00%,290,2,03%
400.001 - 500.000,84.634.195,82,5,03%,189,1,32%
500.001 - 600.000,72.264.138,24,4,29%,131,0,92%
600.001 - 700.000,40.968.354,94,2,43%,63,0,44%
700.001 - 800.000,33.490.356,05,1,99%,45,0,31%
800.001 - 900.000,33.039.235,22,1,96%,39,0,27%
900.001 - 1.000.000,35.695.888,06,2,12%,37,0,26%
1.000.001 - 1.100.000,19.910.449,82,1,18%,19,0,13%
1.100.001 - 1.200.000,19.564.210,71,1,16%,17,0,12%
1.200.001 - 1.300.000,16.492.780,51,0,98%,13,0,09%
1.300.001 - 1.400.000,25.859.326,43,1,54%,19,0,13%
1.400.001 - 1.500.000,17.816.464,71,1,06%,12,0,08%
1.500.001 - 1.600.000,12.299.563,85,0,73%,8,0,06%
1.600.001 - 1.700.000,16.479.802,80,0,98%,10,0,07%
1.700.001 - 1.800.000,27.980.633,28,1,66%,16,0,11%
1.800.001 - 1.900.000,9.202.743,31,0,55%,5,0,03%
1.900.001 - 2.000.000,15.830.454,31,0,94%,8,0,06%
2.000.001 - 2.100.000,4.052.435,02,0,24%,2,0,01%
2.100.001 - 2.200.000,8.562.613,94,0,51%,4,0,03%
2.300.001 - 2.400.000,9.026.149,10,0,54%,4,0,03%
2.400.001 - 2.500.000,6.975.503,46,0,41%,3,0,02%
2.500.001 - 2.600.000,14.857.996,45,0,88%,6,0,04%
2.600.001 - 2.700.000,2.524.734,43,0,15%,1,0,01%
2.700.001 - 2.800.000,8.066.666,68,0,48%,3,0,02%
2.800.001 - 2.900.000,10.867.873,16,0,65%,4,0,03%
2.900.001 - 3.000.000,5.689.345,81,0,34%,2,0,01%
3.000.001 - 3.100.000,26.968.682,12,1,60%,9,0,06%
3.100.001 - 3.200.000,9.221.656,72,0,55%,3,0,02%
3.200.001 - 3.300.000,3.150.000,00,0,19%,1,0,01%
3.300.001 - 3.400.000,6.542.354,00,0,39%,2,0,01%
3.400.001 - 3.500.000,3.300.000,05,0,20%,1,0,01%
3.500.001 - 3.600.000,3.500.000,00,0,21%,1,0,01%
3.600.001 - 3.700.000,3.600.000,00,0,21%,1,0,01%
3.700.001 - 3.800.000,14.974.724,58,0,89%,4,0,03%
3.800.001 - 3.900.000,3.885.833,21,0,23%,1,0,01%
3.900.001 - 4.000.000,15.999.698,34,0,95%,4,0,03%
4.000.001 - 4.100.000,8.360.000,00,0,50%,2,0,01%
4.100.001 - 4.200.000,4.329.788,92,0,26%,1,0,01%
4.300.001 - 4.400.000,4.800.000,00,0,29%,1,0,01%
4.500.001 - 4.600.000,9.719.761,95,0,58%,2,0,01%
4.900.001 - 5.000.000,5.000.000,00,0,30%,1,0,01%
5.000.001 >=,165.787.079,94,9,85%,18,0,13%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
