PRINCIPAL PENDIENTE DE LOS PRÉSTAMOS DESGLOSADOS
POR COMUNIDADES AUTÓNOMAS,Principal Pendiente,,Préstamos,
Comunidad Autónoma,Euros %,,Número %,
Valencia,285.102.162,30,16,94%,3.037,21,23%
Andalucia,200.896.753,04,11,93%,1.850,12,93%
Madrid,211.373.778,99,12,56%,1.489,10,41%
Cataluña,240.419.075,29,14,28%,1.390,9,71%
Castilla La Mancha,75.636.583,22,4,49%,1.166,8,15%
Galicia,140.207.740,18,8,33%,1.070,7,48%
Castilla y Leon,78.394.778,02,4,66%,705,4,93%
Pais Vasco,135.071.512,17,8,02%,613,4,28%
Cantabria,30.074.413,15,1,79%,445,3,11%
Aragon,41.119.679,36,2,44%,442,3,09%
Other,245.020.479,94,14,56%,2.101,14,68%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
