FLUJOS POR CADA BONO SIN RETENCIÓN PARA EL TOMADOR TAA=4% (en euros),,
Fecha de Pago,Serie A,Serie B
,Ppal. Inter. Flujo
Amort Brutos Total,Ppal. Inter. Flujo
Amort Brutos Total
28/11/2017
19/03/2018
18/06/2018
18/09/2018
18/12/2018
18/03/2019
18/06/2019
18/09/2019
18/12/2019
18/03/2020
18/06/2020
18/09/2020
18/12/2020
18/03/2021
18/06/2021
18/09/2021
18/12/2021
18/03/2022
18/06/2022
18/09/2022
18/12/2022
18/03/2023
18/06/2023,4.408,41 206,89 4.615,30
7.415,06 162,14 7.577,20
6.326,14 151,20 6.477,34
6.594,73 138,83 6.733,56
6.019,67 126,24 6.145,92
6.699,14 118,72 6.817,86
5.659,43 107,24 5.766,67
5.925,19 96,47 6.021,66
5.612,70 86,42 5.699,12
6.053,00 77,75 6.130,74
5.029,28 67,37 5.096,65
4.746,14 58,11 4.804,24
4.323,33 49,50 4.372,83
4.744,83 43,19 4.788,02
4.125,91 35,06 4.160,97
4.201,65 27,68 4.229,33
3.684,21 20,32 3.704,54
3.906,80 14,46 3.921,26
3.015,15 7,76 3.022,91
1.509,23 2,56 1.511,79
0,00 0,00 0,00
0,00 0,00 0,00,0,00 283,98 283,98
0,00 232,81 232,81
0,00 235,37 235,37
0,00 232,81 232,81
0,00 230,25 230,25
0,00 235,37 235,37
0,00 235,37 235,37
0,00 232,81 232,81
0,00 232,81 232,81
0,00 235,37 235,37
0,00 235,37 235,37
0,00 232,81 232,81
0,00 230,25 230,25
0,00 235,37 235,37
0,00 235,37 235,37
0,00 232,81 232,81
0,00 230,25 230,25
0,00 235,37 235,37
0,00 235,37 235,37
9.183,98 232,81 9.416,79
17.153,59 209,10 17.362,70
73.662,43 173,38 73.835,80
,100.000,00 1.597,90 101.597,90,100.000,00 5.105,16 105.105,16
