Año de vencimiento,Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
2016,610,0,8%,1 .330.105,0,2%
2017,3.129,4,0%,1 2.104.611,1,4%
2018,5.930,7,5%,3 7.627.177,4,4%
2019,18.285,23,2%,1 64.566.310,19,3%
2020,26.713,33,9%,2 84.069.810,33,4%
2021,8.606,10,9%,1 11.274.019,13,1%
2022,6.828,8,7%,9 7.423.230,11,4%
2023,3.540,4,5%,5 5.295.329,6,5%
2024,1.801,2,3%,3 0.029.354,3,5%
2025,3.303,4,2%,5 7.232.608,6,7%
Total,78.745,100%,8 50.952.556,100%
