Comunidad Autónoma,Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
Andalucía,15.008,19,1%,1 60.284.990,18,8%
Aragón,2.190,2,8%,2 4.112.936,2,8%
Asturias,1.401,1,8%,1 5.041.379,1,8%
Baleares,2.416,3,1%,2 5.483.769,3,0%
Canarias,4.938,6,3%,4 6.743.430,5,5%
Cantabria,1.004,1,3%,1 0.810.111,1,3%
Castilla León,3.408,4,3%,3 7.544.216,4,4%
Castilla-La Mancha,4.476,5,7%,4 7.899.330,5,6%
Cataluña,12.058,15,3%,1 36.963.382,16,1%
Ceuta,125,0,2%,1 .498.236,0,2%
Extremadura,577,0,7%,6 .208.467,0,7%
Galicia,4.040,5,1%,4 3.991.141,5,2%
La Rioja,622,0,8%,6 .773.213,0,8%
Madrid,11.499,14,6%,1 22.002.624,14,3%
Melilla,165,0,2%,1 .881.647,0,2%
Murcia,2.562,3,3%,2 9.763.046,3,5%
Navarra,1.003,1,3%,1 0.775.247,1,3%
País Vasco,3.248,4,1%,3 5.874.344,4,2%
Valencia,8.005,10,2%,8 7.301.047,10,3%
Total,78.745,100%,8 50.952.556,100%
