Marca,Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
HYUNDAI,17.575,22,32%,2 05.083.378,24,10%
KIA,17.378,22,07%,1 88.556.004,22,16%
OPEL,10.395,13,20%,1 06.881.471,12,56%
MAZDA,3.738,4,75%,4 7.589.140,5,59%
FORD,4.453,5,65%,4 5.136.183,5,30%
CITROEN,2.906,3,69%,2 5.853.852,3,04%
MITSUBISHI,2.036,2,59%,2 5.798.597,3,03%
PEUGEOT,2.592,3,29%,2 3.541.413,2,77%
VOLKSWAGEN,2.087,2,65%,2 1.996.612,2,58%
SEAT,2.460,3,12%,2 1.364.187,2,51%
RENAULT
NISSAN,2.534,3,22%
1,87%,2 0.884.779
1 6.409.391,2,45%
1,93%
,1.476,,,
SUZUKI,1.031,1,31%,1 1.325.345,1,33%
AUDI,860,1,09%,1 0.818.832,1,27%
TOYOTA,1.080,1,37%,1 0.770.106,1,27%
BMW,813,1,03%,1 0.476.295,1,23%
DACIA,1.013,1,29%,1 0.000.354,1,18%
MERCEDES-BENZ,661,0,84%,1 0.000.217,1,18%
FIAT,1.132,1,44%,9 .412.785,1,11%
SSANGYONG,535,0,68%,7 .763.532,0,91%
Otros (1),1.990,2,53%,2 1.290.081,2,50%
Total,78.745,100%,8 50.952.556,100%
