IM CAJAMAR 6, FTA,,,,
,,,,
ESCENARIO,,10% TAA,12% TAA,15% TAA
Bono A,Vida Media (años),6,44,5,62,4,69
,TIR,4,827%,4,827%,4,827%
,Duración,4,94,4,42,3,80
Bono B,Vida Media (años),10,85,9,47,7,91
,TIR,4,932%,4,932%,4,932%
,Duración,7,92,7,14,6,18
Bono C,Vida Media (años),10,85,9,47,7,91
,TIR,5,038%,5,038%,5,037%
,Duración,7,87,7,10,6,15
Bono D,Vida Media (años),10,85,9,47,7,91
,TIR,5,564%,5,564%,5,564%
,Duración,7,63,6,90,6,01
Bono E,Vida Media (años),11,86,10,35,8,66
,TIR,8,228%,8,227%,8,227%
,Duración,6,90,6,35,5,65
Fecha de Liquidación Anticipada del Fondo,,22/03/2024,22/03/2022,23/12/2019
