,ACTIVO,,,Euros,,,PASIVO,,,Euros,
,,,,,,,,,,,
Participaciones y Certificados*,,,1.700.000.000,,,Bonos de la Serie A,,,1.635.400.000,,
,,,,,,Bonos de la Serie B,,,45.900.000,,
,,,,,,Bonos de la Serie C,,,18.700.000,,
,,,,,,Bonos de la Serie D,,,12.800.000,,
Tesorería,,,,,,,,,,,
Fondo de Reserva,,,12.800.000,,,,,,,,
Gastos Iniciales Activados,,,1.900.000,,,Préstamo Gastos Iniciales,,,1.900.000,,
Otros Recursos Depositados,,,0,00,,,,,,,,
,TOTAL ACTIVO,,,1.714.700.000,,,TOTAL PASIVO,,,1.714.700.000,
