21-feb-07,3,835%,3,965%,4,135%,4,335%,7,335%
20-feb-07,3,833%,3,963%,4,133%,4,333%,7,333%
19-feb-07,3,831%,3,961%,4,131%,4,331%,7,331%
16-feb-07,3,826%,3,956%,4,126%,4,326%,7,326%
13-feb-07,3,814%,3,939%,4,114%,4,314%,7,314%
12-feb-07,3,809%,3,934%,4,109%,4,309%,7,309%
9-feb-07,3,806%,3,931%,4,106%,4,306%,7,306%
8-feb-07,3,803%,3,928%,4,103%,4,303%,7,303%
7-feb-07,3,786%,3,911%,4,086%,4,286%,7,286%
6-feb-07,3,784%,3,909%,4,084%,4,284%,7,284%
5-feb-07,3,780%,3,905%,4,080%,4,280%,7,280%
2-feb-07,3,788%,3,913%,4,088%,4,288%,7,288%
1-feb-07,3,785%,3,910%,4,085%,4,285%,7,285%
