,Cartera de préstamos hipotecarios de CAJASIETE a 12/02/2024,,,,,,
,Clasificación en función de si los préstamos tienen posibilidad de bonificación en el margen por venta,,,,,,
,cruzada,,,,,,
¿Posibilidad de
bonificación en
el margen?,,Máxima
bonificación
aplicable al
margen,Préstamos,Principal pendiente,%,%
acumulado,
NO,,-,858,53.798.083,14,27,56,27,56,
SI,,0,50%,862,63.282.123,99,32,41,72,44,
,,0,55%,6,504.400,86,0,26,,
,,1,00%,788,75.684.117,54,38,77,,
,,1,26%,2,83.443,10,0,04,,
,,1,35%,9,450.019,44,0,23,,
,,1,40%,6,343.444,38,0,18,,
,,1,45%,1,90.343,38,0,05,,
,,1,50%,18,996.450,84,0,51,,
Totales:,,0,78%(*),2.550,195.232.426,67,100,00,,
