,,,Página
FACTORES DE RIESGO,,,7
DOCUMENTO DE REGISTRO PARA BONOS DE TITULIZACIÓN
(Anexo 9 del Reglamento Delegado 2019/980),,,19
1.,PERSONAS RESPONSABLES, INFORMACIÓN SOBRE TERCEROS, INFORMES DE
EXPERTOS Y APROBACIÓN DE LA AUTORIDAD COMPETENTE,,19
,1.1,Personas responsables de la información que figura en el Documento de Registro,19
,1.2,Declaración de los responsables del contenido del Documento de Registro,19
,1.3,Declaración o informe atribuido a una persona en calidad de experto en el Documento de
Registro,19
,1.4,Información procedente de terceros en el Documento de Registro,19
,1.5,Aprobación por la CNMV,19
2.,AUDITORES LEGALES,,19
,2.1,Auditores del Fondo,19
,2.2,Criterios contables utilizados por el Fondo,20
3.,FACTORES DE RIESGO,,20
4.,INFORMACIÓN SOBRE EL EMISOR,,20
,4.1,Declaración de que el Emisor se constituirá como fondo de titulización,20
,4.2,Nombre legal y comercial del Emisor,20
,4.3,Lugar del registro del Emisor y número de registro,20
,4.4,Fecha de constitución y periodo de actividad del Emisor,20
,4.4.1,Fecha de constitución del Fondo,20
,4.4.2,Periodo de actividad del Fondo,21
,4.4.3,Liquidación Anticipada del Fondo,21
,4.4.4,Extinción del Fondo,23
,4.5,Domicilio, personalidad jurídica y legislación aplicable al Emisor,24
