,4.5.1,Régimen fiscal del Fondo,25
,4.6,Capital autorizado y emitido por el Emisor,26
5.,DESCRIPCIÓN EMPRESARIAL,,26
,5.1,Breve descripción de las actividades principales del Emisor,26
6.,ÓRGANOS DE ADMINISTRACIÓN, DE GESTIÓN Y DE SUPERVISIÓN,,27
,6.1,Constitución e inscripción en el Registro Mercantil,27
,6.2,Auditoría de cuentas,27
,6.3,Actividades principales,27
,6.4,Capital social y recursos propios,28
,6.5,Existencia o no de participaciones en otras sociedades,29
,6.6,Órganos administrativos, de gestión y de supervisión,29
,6.7,Actividades principales de las personas citadas en el apartado 6.6 anterior, desarrolladas
fuera de la Sociedad Gestora si éstas son importantes con respecto al Fondo,30
,6.8,Prestamistas de la Sociedad Gestora en más del 10 por 100,30
,6.9,Litigios de la Sociedad Gestora,30
7.,ACCIONISTAS PRINCIPALES,,30
,7.1,En la medida en que tenga conocimiento de ello el emisor, declárese si el emisor es
propiedad o está bajo control, directa o indirectamente, de un tercero y de quién se trata,
y descríbase el carácter de ese control y las medidas adoptadas para garantizar que no
se abusa del mismo,30
8.,INFORMACIÓN FINANCIERA SOBRE LOS ACTIVOS Y PASIVOS, LA POSICIÓN
FINANCIERA Y LAS PÉRDIDAS Y GANANCIAS DEL EMISOR,,31
,8.1,Declaración sobre el inicio de las operaciones y los estados financieros del Emisor
anteriores a la fecha del Documento de Registro,31
,8.2,Información financiera histórica cuando un emisor haya iniciado operaciones y se hayan
elaborado estados financieros,31
,8.2.a,Información financiera histórica para emisiones de valores con denominación individual
igual o superior a 100.000 euros,31
,8.3,Procedimientos judiciales y de arbitraje,31
,8.4,Cambio adverso importante en la posición financiera del Emisor.,31
9.,DOCUMENTOS DISPONIBLES,,31
,9.1,Documentos para consulta,31
,,,
NOTA DE VALORES
(Anexo 15 del Reglamento Delegado 2019/980),,,32
1.,PERSONAS RESPONSABLES, INFORMACIÓN SOBRE TERCEROS, INFORMES DE
EXPERTOS Y APROBACIÓN DE LA AUTORIDAD COMPETENTE,,32
,1.1,Personas responsables de la información que figura en la Nota de Valores,32
,1.2,Declaración de los responsables de la Nota de Valores,32
,1.3,Declaración o informe atribuido a una persona en calidad de experto en la Nota de
Valores,32
,1.4,Información procedente de terceros en la Nota de Valores,32
,1.5,Aprobación por la CNMV,32
2.,FACTORES DE RIESGO,,32
3.,INFORMACIÓN ESENCIAL,,33
