,Cartera de préstamos hipotecarios de CAJA RURAL DE ARAGÓN a 12/02/2024,,,,,,,,
,Clasificación en función de si los préstamos tienen posibilidad de bonificación en el margen por venta,,,,,,,,
,cruzada,,,,,,,,
¿Posibilidad de
bonificación en
el margen?,,,Máxima,,Préstamos,Principal pendiente,%,%
acumulado,
,,,bonificación,,,,,,
,,,aplicable al,,,,,,
,,,margen,,,,,,
NO,,-,,,1.786,104.774.944,16,74,87,74,87,
SI,,0,25%,,,21,1.067.398,62,0,76,25,13,
,,0,35%,,,4,244.474,38,0,17,,
,,0,40%,,,1,17.706,95,0,01,,
,,0,50%,,,46,2.409.869,40,1,72,,
,,0,55%,,,59,2.948.989,05,2,11,,
,,0,75%,,,3,353.528,02,0,25,,
,,0,85%,,,6,188.361,31,0,13,,
,,0,87%,,,3,131.690,15,0,09,,
,,0,90%,,,2,123.485,23,0,09,,
,,1,00%,,,461,26.392.002,63,18,86,,
,,1,10%,,,1,178.147,51,0,13,,
,,1,30%,,,1,139.485,60,0,10,,
,,1,55%,,,27,966.195,86,0,69,,
Totales:,,0,91%(*),,,2.421,139.936.278,87,100,00,,
