,Saldo Vivo,No vencidas,,,,Vencidas > 30,,,Pago improb.no,,,,
,,,No vencidas,,,días,,,vencidas,,,,
Fecha,Hip.Resid.,,o vencidas <= 30,,<= 90 días,,,o vencidas <= 90 días,,,,Vencidas > 90,
,,,días,,,,,,,,,días,
mar.-19,193.990.740,99,94,34%,,,1,34%,,,1,19%,,,3,14%,,
jun.-19,197.661.386,60,94,33%,,,0,56%,,,1,79%,,,3,32%,,
sep.-19,195.909.998,11,94,18%,,,0,59%,,,1,02%,,,4,21%,,
dic.-19,198.006.850,23,93,54%,,,1,72%,,,0,75%,,,3,99%,,
mar.-20,199.675.404,29,94,04%,,,1,16%,,,0,84%,,,1,75%,,
jun.-20,184.599.790,81,96,94%,,,0,15%,,,0,36%,,,2,54%,,
sep.-20,186.780.848,38,97,03%,,,0,05%,,,0,29%,,,2,63%,,
dic.-20,193.217.405,57,96,95%,,,0,41%,,,0,38%,,,2,26%,,
mar.-21,200.666.131,65,97,46%,,,0,15%,,,0,65%,,,1,74%,,
jun.-21,206.415.567,29,97,56%,,,0,10%,,,0,39%,,,1,95%,,
sep.-21,210.384.365,54,97,86%,,,0,16%,,,0,39%,,,1,59%,,
dic.-21,215.356.659,70,97,64%,,,0,49%,,,0,51%,,,1,36%,,
mar.-22,222.905.880,02,97,69%,,,0,66%,,,0,47%,,,1,18%,,
jun.-22,225.019.201,95,98,11%,,,0,12%,,,0,58%,,,1,19%,,
sep.-22,225.930.515,09,98,01%,,,0,23%,,,0,72%,,,1,04%,,
dic.-22,224.045.008,55,97,86%,,,0,26%,,,0,91%,,,0,97%,,
mar.-23,220.705.647,60,97,94%,,,0,60%,,,0,75%,,,0,71%,,
jun.-23,218.145.373,68,98,11%,,,0,25%,,,0,75%,,,0,89%,,
sep.-23,232.869.672,13,96,33%,,,0,42%,,,1,40%,,,1,85%,,
dic.-23,232.191.738,78,95,96%,,,0,46%,,,1,49%,,,2,08%,,
