Fecha,,,% Tasa
anualizada,,,% Tasa
acumulada,,,,,Fecha,,,% Tasa
anualizada,,,% Tasa
acumulada,,,,,Fecha,,,% Tasa
anualizada,,,% Tasa
acumulada,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31/12/2023,,,6,39,,,5,47,,,,,30/09/2018,,,5,64,,,5,21,,,,,30/06/2013,,,1,72,,,3,79,
,30/11/2023,,,5,42,,,5,42,,,,,31/08/2018,,,4,35,,,5,12,,,,,31/05/2013,,,1,75,,,3,81,
,31/10/2023,,,4,80,,,5,41,,,,,31/07/2018,,,4,05,,,5,10,,,,,30/04/2013,,,2,28,,,3,86,
,30/09/2023,,,5,61,,,5,43,,,,,30/06/2018,,,3,95,,,5,13,,,,,31/03/2013,,,2,26,,,3,90,
,31/08/2023,,,5,48,,,5,43,,,,,31/05/2018,,,3,27,,,5,10,,,,,28/02/2013,,,2,25,,,3,95,
,31/07/2023,,,5,46,,,5,46,,,,,30/04/2018,,,3,13,,,5,10,,,,,31/01/2013,,,2,15,,,3,99,
,30/06/2023,,,4,74,,,5,44,,,,,31/03/2018,,,3,03,,,5,13,,,,,31/12/2012,,,2,15,,,4,02,
,31/05/2023,,,5,21,,,5,42,,,,,28/02/2018,,,2,46,,,5,11,,,,,30/11/2012,,,2,10,,,4,03,
,30/04/2023,,,4,93,,,5,42,,,,,31/01/2018,,,2,81,,,5,13,,,,,31/10/2012,,,2,16,,,4,09,
,31/03/2023,,,4,61,,,5,37,,,,,31/12/2017,,,4,01,,,5,17,,,,,30/09/2012,,,2,12,,,4,13,
,28/02/2023,,,5,61,,,5,38,,,,,30/11/2017,,,4,00,,,5,12,,,,,31/08/2012,,,2,09,,,4,20,
,31/01/2023,,,5,15,,,5,37,,,,,31/10/2017,,,4,84,,,5,14,,,,,31/07/2012,,,1,95,,,4,24,
,31/12/2022,,,5,58,,,5,40,,,,,30/09/2017,,,5,09,,,5,16,,,,,30/06/2012,,,2,59,,,4,29,
,30/11/2022,,,6,39,,,5,42,,,,,31/08/2017,,,7,60,,,5,20,,,,,31/05/2012,,,2,88,,,4,32,
,31/10/2022,,,6,96,,,5,45,,,,,31/07/2017,,,7,29,,,5,21,,,,,30/04/2012,,,2,79,,,4,25,
,30/09/2022,,,6,05,,,5,41,,,,,30/06/2017,,,8,41,,,5,26,,,,,31/03/2012,,,2,94,,,4,32,
,31/08/2022,,,6,04,,,5,43,,,,,31/05/2017,,,8,89,,,5,30,,,,,29/02/2012,,,3,77,,,4,39,
,31/07/2022,,,7,09,,,5,46,,,,,30/04/2017,,,9,63,,,5,32,,,,,31/01/2012,,,4,05,,,4,48,
